日志流水号,FDNName,对象标识,产品名称,网元类型,网元子设备编号,网元名称,设备告警流水号,告警名称,告警类型,告警级别,告警状态,发生时间,确认时间,清除时间,(反)确认操作员,清除操作员,定位信息,链路标识,链路名称,链路类型,告警标识,告警ID,对象实例类型,自动清除,告警清除类型,影响业务标识,附加信息,到达网管UTC时间,列表流水号,关联日志id,代理ID,根源告警ID,告警是否被隐藏（屏蔽）
371057271,"NE=3146246,PW=62|5||||","NE=3146246,PW=62|5||||",移动,OptiX OSN 1800 V,NE=3146246,H12855-南京省技侦,17197310,PW_NO_TRAFFIC,通信质量,次要,未确认已清除 告警,2020年12月10日 19时02分23秒 GMT+08:00,,2020年12月10日 19时02分38秒 GMT+08:00,, < 网元 > ,"L2VPN PW:(以太,62)",,,,,13107,,是,正常清除,是,"
告警参数II(16进制) 0x00",2020年12月10日 19时01分58秒 GMT+08:00,624684,0,,,0
371057275,OSS,"OS=1,PROC=3034,NE=3146202,PWE3=2|987|",网管,OSS,OS=1,OSS,1078708908,SERVICE_OUTAGE,业务质量,重要,未确认已清除 告警,2020年12月10日 19时02分00秒 GMT+08:00,,2020年12月10日 19时02分22秒 GMT+08:00,, < 网元 > ,连云港技侦专网,,,,(衍生告警),20,,是,正常清除,,"Name:连云港技侦专网,Source[H48397-连云港公安局],Sink[H12855-南京省技侦],Level:ETH,UID:2016-07-06 09:06:29-61-pwe3",2020年12月10日 19时02分00秒 GMT+08:00,628802,0,,371057271,0
371057301,"ONE=4063357,NE=3147485,FR=0,S=38,CP=-1,PP=3||1|,OCH=1","ONE=4063357,NE=3147485,FR=0,S=38,CP=-1,PP=3||1|,OCH=1",移动,WDM_OADM,ONE=4063357,H30018-苏州园区100G(市县环),164749,R_LOS,通信质量,紧急,未确认已清除 告警,2020年12月10日 19时02分29秒 GMT+08:00,,2020年12月10日 19时02分31秒 GMT+08:00,, < 网元 > ,0-subrack-38-U6U402-1(IN1/OUT1)-OCH:1,,,,,1,,是,正常清除,是,,2020年12月10日 19时02分14秒 GMT+08:00,1085370,0,,,0
371057298,"ONE=4063255,NE=3145767,FR=2,S=11,CP=-1,PP=3||73|,OTU2=1","ONE=4063255,NE=3145767,FR=2,S=11,CP=-1,PP=3||73|,OTU2=1",移动,WDM_OADM,ONE=4063255,H222-盐城滨海分公司,1586149,BEFFEC_EXC,业务质量,次要,未确认已清除 告警,2020年12月10日 19时02分21秒 GMT+08:00,,2020年12月10日 19时02分28秒 GMT+08:00,, < 网元 > ,2-业务子架-11-52NQ2-73(ODU2LP3/ODU2LP3)-OTU2:1,,,,,335,,是,正常清除,是,,2020年12月10日 19时02分13秒 GMT+08:00,1084204,0,,,0
371057307,"ONE=4063357,NE=3147485,FR=0,S=40,CP=-1,PP=3||2|,OCH=1","ONE=4063357,NE=3147485,FR=0,S=40,CP=-1,PP=3||2|,OCH=1",移动,WDM_OADM,ONE=4063357,H30018-苏州园区100G(市县环),164750,R_LOS,通信质量,紧急,未确认已清除 告警,2020年12月10日 19时02分29秒 GMT+08:00,,2020年12月10日 19时02分32秒 GMT+08:00,, < 网元 > ,0-subrack-40-U6U402-2(IN2/OUT2)-OCH:1,,,,,1,,是,正常清除,是,,2020年12月10日 19时02分15秒 GMT+08:00,1085367,0,,,0
371057309,P-H30743-苏州中环南光子架,NE=3146567,网管,OptiX OSN 9600,NE=3146567,P-H30743-苏州中环南光子架,69915,NE_NOT_LOGIN,安全告警,紧急,未确认已清除 告警,2020年12月10日 19时02分16秒 GMT+08:00,,2020年12月10日 19时02分17秒 GMT+08:00,, < 网元 > ,网元P-H30743-苏州中环南光子架未登录,,,,,2,,是,正常清除,,,2020年12月10日 19时02分16秒 GMT+08:00,1085361,371057309,,,0
371057296,"NE=3146355,FR=0,S=20,CP=-1,PP=3||11|,CLIENT=1","NE=3146355,FR=0,S=20,CP=-1,PP=3||11|,CLIENT=1",移动,OptiX OSN 9600 U64,NE=3146355,H12824-南京河西六楼-电子架(核心02),357411,RMON_ALM_INBADOCTS_OVER,业务质量,次要,未确认已清除 告警,2020年12月10日 19时14分12秒 GMT+08:00,,2020年12月10日 19时14分22秒 GMT+08:00,, < 网元 > ,0-主子架-20-Y1C130-11(RX11/TX11)-CLIENT:1,,,,,299,,是,正常清除,是,"槽位=20,子槽=255,端口=11,通道=1
",2020年12月10日 19时02分10秒 GMT+08:00,1084170,0,,,0
371057321,"ONE=4063288,NE=3145852,FR=2,S=13,CP=-1,PP=3||3|,CLIENT=1","ONE=4063288,NE=3145852,FR=2,S=13,CP=-1,PP=3||3|,CLIENT=1",移动,WDM_OTM,ONE=4063288,H4005-无锡市区蠡园局10GW4,483492,INTRA_OTU_PS,通信质量,次要,未确认已清除 告警,2020年12月10日 19时02分26秒 GMT+08:00,,2020年12月10日 19时02分55秒 GMT+08:00,, < 网元 > ,2-subrack-13-12DCP-3(RI21/TO21)-CLIENT:1,,,,,12539,,是,正常清除,,,2020年12月10日 19时02分04秒 GMT+08:00,1084171,371057321,,,0
371057232,"NE=3146246,PW=60|5||||","NE=3146246,PW=60|5||||",移动,OptiX OSN 1800 V,NE=3146246,H12855-南京省技侦,17197308,PW_NO_TRAFFIC,通信质量,次要,未确认已清除 告警,2020年12月10日 19时02分03秒 GMT+08:00,,2020年12月10日 19时02分48秒 GMT+08:00,, < 网元 > ,"L2VPN PW:(以太,60)",,,,,13107,,是,正常清除,是,"
告警参数II(16进制) 0x00",2020年12月10日 19时01分38秒 GMT+08:00,935154,0,,,0
371057297,"NE=3146205,PW=61|5||||","NE=3146205,PW=61|5||||",移动,OptiX OSN 1800 V,NE=3146205,H43277-徐州公安局,1539832,PW_NO_TRAFFIC,通信质量,次要,未确认已清除 告警,2020年12月10日 19时02分37秒 GMT+08:00,,2020年12月10日 19时02分47秒 GMT+08:00,, < 网元 > ,"L2VPN PW:(以太,61)",,,,,13107,,是,正常清除,是,"
告警参数II(16进制) 0x00",2020年12月10日 19时02分11秒 GMT+08:00,1074883,0,,,0
