日志流水号,FDNName,对象标识,产品名称,网元类型,网元子设备编号,网元名称,设备告警流水号,告警名称,告警类型,告警级别,告警状态,发生时间,确认时间,清除时间,(反)确认操作员,清除操作员,定位信息,链路标识,链路名称,链路类型,告警标识,告警ID,对象实例类型,自动清除,告警清除类型,影响业务标识,附加信息,到达网管UTC时间,列表流水号,关联日志id,代理ID,根源告警ID,告警是否被隐藏（屏蔽）
370674226,"NE=3146053,PW=71|5||||","NE=3146053,PW=71|5||||",移动,OptiX OSN 1800 V,NE=3146053,H30477-镇江公安局,1356887,PW_NO_TRAFFIC,通信质量,次要,未确认已清除 告警,2020年12月7日 20时01分37秒 GMT+08:00,,2020年12月7日 20时01分57秒 GMT+08:00,, < 网元 > ,"L2VPN PW:(以太,71)",,,,,13107,,是,正常清除,是,"
告警参数II(16进制) 0x00",2020年12月7日 20时01分23秒 GMT+08:00,988794,0,,,0
370674233,"NE=3146246,PW=60|5||||","NE=3146246,PW=60|5||||",移动,OptiX OSN 1800 V,NE=3146246,H12855-南京省技侦,17171933,PW_NO_TRAFFIC,通信质量,次要,未确认已清除 告警,2020年12月7日 20时01分39秒 GMT+08:00,,2020年12月7日 20时02分00秒 GMT+08:00,, < 网元 > ,"L2VPN PW:(以太,60)",,,,,13107,,是,正常清除,是,"
告警参数II(16进制) 0x00",2020年12月7日 20时01分25秒 GMT+08:00,935154,0,,,0
370674234,"NE=3146246,PW=62|5||||","NE=3146246,PW=62|5||||",移动,OptiX OSN 1800 V,NE=3146246,H12855-南京省技侦,17171934,PW_NO_TRAFFIC,通信质量,次要,未确认已清除 告警,2020年12月7日 20时01分39秒 GMT+08:00,,2020年12月7日 20时02分00秒 GMT+08:00,, < 网元 > ,"L2VPN PW:(以太,62)",,,,,13107,,是,正常清除,是,"
告警参数II(16进制) 0x00",2020年12月7日 20时01分25秒 GMT+08:00,624684,0,,,0
370674236,OSS,"OS=1,PROC=3034,NE=3146053,PWE3=2|800|",网管,OSS,OS=1,OSS,1078676366,SERVICE_OUTAGE,业务质量,重要,未确认已清除 告警,2020年12月7日 20时01分27秒 GMT+08:00,,2020年12月7日 20时01分53秒 GMT+08:00,, < 网元 > ,镇江技侦专网,,,,(衍生告警),20,,是,正常清除,,"Name:镇江技侦专网,Source[H30477-镇江公安局],Sink[H12855-南京省技侦],Level:ETH,UID:2016-09-29 04:15:48-70-pwe3",2020年12月7日 20时01分27秒 GMT+08:00,946695,0,,370674226,0
370674140,OSS,"OS=1,PROC=3034,NE=3146227,PWE3=2|1264|",网管,OSS,OS=1,OSS,1078676362,SERVICE_OUTAGE,业务质量,重要,未确认已清除 告警,2020年12月7日 20时00分35秒 GMT+08:00,,2020年12月7日 20时01分56秒 GMT+08:00,, < 网元 > ,淮安技侦专网,,,,(衍生告警),20,,是,正常清除,,"Name:淮安技侦专网,Source[H45837-淮安新市公安局],Sink[H12855-南京省技侦],Level:ETH,UID:2016-07-06 09:04:14-59-pwe3",2020年12月7日 20时00分35秒 GMT+08:00,628773,0,,370674132,0
370674141,OSS,"OS=1,PROC=3034,NE=3146202,PWE3=2|987|",网管,OSS,OS=1,OSS,1078676363,SERVICE_OUTAGE,业务质量,重要,未确认已清除 告警,2020年12月7日 20时00分35秒 GMT+08:00,,2020年12月7日 20时01分56秒 GMT+08:00,, < 网元 > ,连云港技侦专网,,,,(衍生告警),20,,是,正常清除,,"Name:连云港技侦专网,Source[H48397-连云港公安局],Sink[H12855-南京省技侦],Level:ETH,UID:2016-07-06 09:06:29-61-pwe3",2020年12月7日 20时00分35秒 GMT+08:00,628802,0,,370674133,0
370674261,"NE=3146747,FR=5,S=34,CP=-1,PP=3||4|,PATH=OCh:1-OTU2:1","NE=3146747,FR=5,S=34,CP=-1,PP=3||4|,PATH=OCh:1-OTU2:1",移动,OptiX OSN 8800 T32,NE=3146747,H710-省干南京河西7楼,745315,BEFFEC_EXC,业务质量,提示,未确认已清除 告警,2020年12月7日 20时02分30秒 GMT+08:00,,2020年12月7日 20时02分36秒 GMT+08:00,, < 网元 > ,5-subrack-34-53NQ2-4(IN4/OUT4)-OCh:1-OTU2:1,,,,,335,,是,正常清除,是,,2020年12月7日 20时01分47秒 GMT+08:00,1059922,0,,,0
370674260,"NE=3146246,PW=61|5||||","NE=3146246,PW=61|5||||",移动,OptiX OSN 1800 V,NE=3146246,H12855-南京省技侦,17171935,PW_NO_TRAFFIC,通信质量,次要,未确认已清除 告警,2020年12月7日 20时02分00秒 GMT+08:00,,2020年12月7日 20时02分10秒 GMT+08:00,, < 网元 > ,"L2VPN PW:(以太,61)",,,,,13107,,是,正常清除,是,"
告警参数II(16进制) 0x01",2020年12月7日 20时01分47秒 GMT+08:00,926489,0,,,0
370674262,"NE=3146205,PW=61|5||||","NE=3146205,PW=61|5||||",移动,OptiX OSN 1800 V,NE=3146205,H43277-徐州公安局,1530927,PW_NO_TRAFFIC,通信质量,次要,未确认已清除 告警,2020年12月7日 20时02分04秒 GMT+08:00,,2020年12月7日 20时02分14秒 GMT+08:00,, < 网元 > ,"L2VPN PW:(以太,61)",,,,,13107,,是,正常清除,是,"
告警参数II(16进制) 0x00",2020年12月7日 20时01分48秒 GMT+08:00,1074883,0,,,0
370674264,OSS,"OS=1,PROC=3034,NE=3146205,PWE3=2|564|",网管,OSS,OS=1,OSS,1078676367,SERVICE_OUTAGE,业务质量,重要,未确认已清除 告警,2020年12月7日 20时01分49秒 GMT+08:00,,2020年12月7日 20时02分08秒 GMT+08:00,, < 网元 > ,徐州技侦专网,,,,(衍生告警),20,,是,正常清除,,"Name:徐州技侦专网,Source[H43277-徐州公安局],Sink[H12855-南京省技侦],Level:ETH,UID:2016-07-06 09:05:11-60-pwe3",2020年12月7日 20时01分49秒 GMT+08:00,948130,0,,370674260,0
