日志流水号,FDNName,对象标识,产品名称,网元类型,网元子设备编号,网元名称,设备告警流水号,告警名称,告警类型,告警级别,告警状态,发生时间,确认时间,清除时间,(反)确认操作员,清除操作员,定位信息,链路标识,链路名称,链路类型,告警标识,告警ID,对象实例类型,自动清除,告警清除类型,影响业务标识,附加信息,到达网管UTC时间,列表流水号,关联日志id,代理ID,根源告警ID,告警是否被隐藏（屏蔽）
369843135,"NE=3146202,TPG=4095","NE=3146202,TPG=4095",移动,OptiX OSN 1800 V,NE=3146202,H48397-连云港公安局,1223988,TUNNEL_APS_DEGRADED,业务质量,次要,未确认已清除 告警,2020年11月30日 18时43分12秒 GMT+08:00,,2020年11月30日 18时43分49秒 GMT+08:00,, < 网元 > ,APS保护组:(4095),,,,,13377,,是,正常清除,,,2020年11月30日 18时41分37秒 GMT+08:00,1066124,0,,,0
369843137,"NE=3146148,TPG=4095","NE=3146148,TPG=4095",移动,OptiX OSN 1800 V,NE=3146148,H33293-南通公安局,3002659,TUNNEL_APS_DEGRADED,业务质量,次要,未确认已清除 告警,2020年11月30日 18时43分13秒 GMT+08:00,,2020年11月30日 18时43分49秒 GMT+08:00,, < 网元 > ,APS保护组:(4095),,,,(衍生告警),13377,,是,正常清除,,,2020年11月30日 18时41分37秒 GMT+08:00,1071067,0,,369843131,0
369843139,"NE=3146205,TPG=4095","NE=3146205,TPG=4095",移动,OptiX OSN 1800 V,NE=3146205,H43277-徐州公安局,1509835,TUNNEL_APS_DEGRADED,业务质量,次要,未确认已清除 告警,2020年11月30日 18时43分10秒 GMT+08:00,,2020年11月30日 18时43分47秒 GMT+08:00,, < 网元 > ,APS保护组:(4095),,,,(衍生告警),13377,,是,正常清除,,,2020年11月30日 18时41分38秒 GMT+08:00,1078358,0,,369843119,0
369843207,"NE=3276817,FR=3,S=15,CP=-1,PP=3||1|,FB=10|1||","NE=3276817,FR=3,S=15,CP=-1,PP=3||1|,FB=10|1||",移动,OptiX OSN 9600,NE=3276817,H12817-南京省公安厅-光子架,260526,MUT_LOS,通信质量,紧急,未确认已清除 告警,2020年11月30日 18时43分05秒 GMT+08:00,,2020年11月30日 18时43分44秒 GMT+08:00,, < 网元 > ,3-省消防总队方向-15-12D40-1(IN)-OTS:1,,,,,186,,是,正常清除,是,,2020年11月30日 18时41分40秒 GMT+08:00,1078366,0,,,0
369843208,"NE=3276817,FR=3,S=14,CP=-1,PP=3||1|,FB=10|1||","NE=3276817,FR=3,S=14,CP=-1,PP=3||1|,FB=10|1||",移动,OptiX OSN 9600,NE=3276817,H12817-南京省公安厅-光子架,260527,MUT_LOS,通信质量,紧急,未确认已清除 告警,2020年11月30日 18时43分06秒 GMT+08:00,,2020年11月30日 18时43分44秒 GMT+08:00,, < 网元 > ,3-省消防总队方向-14-13OAU1-1(IN)-OTS:1,,,,,186,,是,正常清除,是,,2020年11月30日 18时41分40秒 GMT+08:00,1078365,0,,,0
369843663,OSS,"OS=1,PROC=3034,NE=3146227,PWE3=2|1264|",网管,OSS,OS=1,OSS,1078598278,PROTECT_LOSS,业务质量,重要,未确认已清除 告警,2020年11月30日 18时42分18秒 GMT+08:00,,2020年11月30日 18时42分21秒 GMT+08:00,, < 网元 > ,淮安技侦专网,,,,(衍生告警),26,,是,正常清除,,"Name:淮安技侦专网,Source[H45837-淮安新市公安局],Sink[H12855-南京省技侦],Level:ETH,UID:2016-07-06 09:04:14-59-pwe3",2020年11月30日 18时42分18秒 GMT+08:00,954685,0,,369843189,0
369843120,"NE=3146202,TUNNEL=1|1|29.9.189.13|29.9.50.55|247||1","NE=3146202,TUNNEL=1|1|29.9.189.13|29.9.50.55|247||1",移动,OptiX OSN 1800 V,NE=3146202,H48397-连云港公安局,1223987,MPLS_TUNNEL_LOCV,通信质量,次要,未确认已清除 告警,2020年11月30日 18时43分11秒 GMT+08:00,,2020年11月30日 18时43分50秒 GMT+08:00,, < 网元 > ,"TUNNEL:(247,29.9.189.13,29.9.50.55)",,,,(衍生告警),12814,,是,正常清除,是,,2020年11月30日 18时41分35秒 GMT+08:00,1066140,0,,369814995,0
369843123,"NE=3146136,TUNNEL=1|1|130.0.0.2|29.9.50.55|253||1","NE=3146136,TUNNEL=1|1|130.0.0.2|29.9.50.55|253||1",移动,OptiX OSN 1800 V,NE=3146136,H38413-盐城公安局,934923,MPLS_TUNNEL_LOCV,通信质量,次要,未确认已清除 告警,2020年11月30日 18时43分09秒 GMT+08:00,,2020年11月30日 18时43分48秒 GMT+08:00,, < 网元 > ,"TUNNEL:(253,130.0.0.2,29.9.50.55)",,,,(衍生告警),12814,,是,正常清除,是,,2020年11月30日 18时41分35秒 GMT+08:00,1068549,0,,369814996,0
369843125,"NE=3146227,TUNNEL=1|1|29.9.179.13|29.9.50.55|235||1","NE=3146227,TUNNEL=1|1|29.9.179.13|29.9.50.55|235||1",移动,OptiX OSN 1800 V,NE=3146227,H45837-淮安新市公安局,2940996,MPLS_TUNNEL_LOCV,通信质量,次要,未确认已清除 告警,2020年11月30日 18时43分09秒 GMT+08:00,,2020年11月30日 18时43分48秒 GMT+08:00,, < 网元 > ,"TUNNEL:(235,29.9.179.13,29.9.50.55)",,,,,12814,,是,正常清除,是,,2020年11月30日 18时41分36秒 GMT+08:00,1066143,0,,,0
369843126,"NE=3146240,TPG=4095","NE=3146240,TPG=4095",移动,OptiX OSN 1800 V,NE=3146240,H44309-宿迁市公安局新楼4楼,1097498,TUNNEL_APS_DEGRADED,业务质量,次要,未确认已清除 告警,2020年11月30日 18时43分11秒 GMT+08:00,,2020年11月30日 18时43分51秒 GMT+08:00,, < 网元 > ,APS保护组:(4095),,,,(衍生告警),13377,,是,正常清除,,,2020年11月30日 18时41分36秒 GMT+08:00,1071085,0,,369843128,0
