日志流水号,FDNName,对象标识,产品名称,网元类型,网元子设备编号,网元名称,设备告警流水号,告警名称,告警类型,告警级别,告警状态,发生时间,确认时间,清除时间,(反)确认操作员,清除操作员,定位信息,链路标识,链路名称,链路类型,告警标识,告警ID,对象实例类型,自动清除,告警清除类型,影响业务标识,附加信息,到达网管UTC时间,列表流水号,关联日志id,代理ID,根源告警ID,告警是否被隐藏（屏蔽）
368728434,"NE=3146246,PW=70|5||||","NE=3146246,PW=70|5||||",移动,OptiX OSN 1800 V,NE=3146246,H12855-南京省技侦,17038541,PW_NO_TRAFFIC,通信质量,次要,未确认已清除 告警,2020年11月22日 11时28分06秒 GMT+08:00,,2020年11月22日 11时28分26秒 GMT+08:00,, < 网元 > ,"L2VPN PW:(以太,70)",,,,,13107,,是,正常清除,是,"
告警参数II(16进制) 0x01",2020年11月22日 11时27分01秒 GMT+08:00,618931,0,,,0
368728450,"NE=3146246,PW=71|5||||","NE=3146246,PW=71|5||||",移动,OptiX OSN 1800 V,NE=3146246,H12855-南京省技侦,17038544,PW_NO_TRAFFIC,通信质量,次要,未确认已清除 告警,2020年11月22日 11时28分16秒 GMT+08:00,,2020年11月22日 11时28分26秒 GMT+08:00,, < 网元 > ,"L2VPN PW:(以太,71)",,,,,13107,,是,正常清除,是,"
告警参数II(16进制) 0x01",2020年11月22日 11时27分11秒 GMT+08:00,913903,0,,,0
368728380,"ONE=4063479,NE=3146439,FR=0,S=10,CP=-1,PP=3||7|,ODU0=1","ONE=4063479,NE=3146439,FR=0,S=10,CP=-1,PP=3||7|,ODU0=1",移动,WDM_OADM,ONE=4063479,H30004-苏州跨塘100G,281660,OPU0_CSF,通信质量,次要,未确认已清除 告警,2020年11月22日 11时26分53秒 GMT+08:00,,2020年11月22日 11时27分52秒 GMT+08:00,, < 网元 > ,0-1A:电子架-10-Y1C130-7(RX7/TX7)-ODU0:1,,,,,13082,,是,正常清除,是,"槽位=10,子槽=255,端口=7,通道=1
",2020年11月22日 11时26分30秒 GMT+08:00,1044577,0,,,0
368728444,"NE=3146053,PW=71|5||||","NE=3146053,PW=71|5||||",移动,OptiX OSN 1800 V,NE=3146053,H30477-镇江公安局,1314347,PW_NO_TRAFFIC,通信质量,次要,未确认已清除 告警,2020年11月22日 11时28分13秒 GMT+08:00,,2020年11月22日 11时28分33秒 GMT+08:00,, < 网元 > ,"L2VPN PW:(以太,71)",,,,,13107,,是,正常清除,是,"
告警参数II(16进制) 0x00",2020年11月22日 11时27分07秒 GMT+08:00,988794,0,,,0
368728455,"NE=3146227,PW=60|5||||","NE=3146227,PW=60|5||||",移动,OptiX OSN 1800 V,NE=3146227,H45837-淮安新市公安局,2939919,PW_NO_TRAFFIC,通信质量,次要,未确认已清除 告警,2020年11月22日 11时28分19秒 GMT+08:00,,2020年11月22日 11时28分34秒 GMT+08:00,, < 网元 > ,"L2VPN PW:(以太,60)",,,,,13107,,是,正常清除,是,"
告警参数II(16进制) 0x01",2020年11月22日 11时27分16秒 GMT+08:00,624682,0,,,0
368728465,"ONE=4063270,NE=3146075,FR=0,S=2,CP=-1,PP=3||2|,PATH=OCh:1-OTU2:1","ONE=4063270,NE=3146075,FR=0,S=2,CP=-1,PP=3||2|,PATH=OCh:1-OTU2:1",移动,WDM_OADM,ONE=4063270,H304-盐城解放南路（市到县）,775832,BEFFEC_EXC,业务质量,次要,未确认已清除 告警,2020年11月22日 11时28分13秒 GMT+08:00,,2020年11月22日 11时28分24秒 GMT+08:00,, < 网元 > ,0-主子架-2-53NQ2-2(IN2/OUT2)-OCh:1-OTU2:1,,,,,335,,是,正常清除,是,,2020年11月22日 11时27分25秒 GMT+08:00,1019289,0,,,0
368728471,"ONE=4063255,NE=3145767,FR=2,S=11,CP=-1,PP=3||73|,OTU2=1","ONE=4063255,NE=3145767,FR=2,S=11,CP=-1,PP=3||73|,OTU2=1",移动,WDM_OADM,ONE=4063255,H222-盐城滨海分公司,1564952,BEFFEC_EXC,业务质量,次要,未确认已清除 告警,2020年11月22日 11时28分05秒 GMT+08:00,,2020年11月22日 11时28分12秒 GMT+08:00,, < 网元 > ,2-业务子架-11-52NQ2-73(ODU2LP3/ODU2LP3)-OTU2:1,,,,,335,,是,正常清除,是,,2020年11月22日 11时27分30秒 GMT+08:00,1019205,0,,,0
368728166,"ONE=4063479,NE=3146439,FR=0,S=10,CP=-1,PP=3||9|,ODU0=1","ONE=4063479,NE=3146439,FR=0,S=10,CP=-1,PP=3||9|,ODU0=1",移动,WDM_OADM,ONE=4063479,H30004-苏州跨塘100G,281618,OPU0_CSF,通信质量,次要,未确认已清除 告警,2020年11月22日 11时24分15秒 GMT+08:00,,2020年11月22日 11时27分57秒 GMT+08:00,, < 网元 > ,0-1A:电子架-10-Y1C130-9(RX9/TX9)-ODU0:1,,,,,13082,,是,正常清除,是,"槽位=10,子槽=255,端口=9,通道=1
",2020年11月22日 11时23分50秒 GMT+08:00,1044579,0,,,0
368728167,"ONE=4063479,NE=3146439,FR=0,S=10,CP=-1,PP=3||10|,ODU0=1","ONE=4063479,NE=3146439,FR=0,S=10,CP=-1,PP=3||10|,ODU0=1",移动,WDM_OADM,ONE=4063479,H30004-苏州跨塘100G,281619,OPU0_CSF,通信质量,次要,未确认已清除 告警,2020年11月22日 11时24分15秒 GMT+08:00,,2020年11月22日 11时27分57秒 GMT+08:00,, < 网元 > ,0-1A:电子架-10-Y1C130-10(RX10/TX10)-ODU0:1,,,,,13082,,是,正常清除,是,"槽位=10,子槽=255,端口=10,通道=1
",2020年11月22日 11时23分50秒 GMT+08:00,1044580,0,,,0
368728466,"ONE=4063478,NE=3146438,FR=0,S=10,CP=-1,PP=3||3|,ODU0=1","ONE=4063478,NE=3146438,FR=0,S=10,CP=-1,PP=3||3|,ODU0=1",移动,WDM_OADM,ONE=4063478,H30003-苏州昆山思常路100G,115929,OPU0_CSF,通信质量,次要,未确认已清除 告警,2020年11月22日 11时28分04秒 GMT+08:00,,2020年11月22日 11时28分06秒 GMT+08:00,, < 网元 > ,0-主子架-10-Y1C130-3(RX3/TX3)-ODU0:1,,,,,13082,,是,正常清除,是,"槽位=10,子槽=255,端口=3,通道=1
",2020年11月22日 11时27分26秒 GMT+08:00,1064368,0,,,0
