日志流水号,FDNName,对象标识,产品名称,网元类型,网元子设备编号,网元名称,设备告警流水号,告警名称,告警类型,告警级别,告警状态,发生时间,确认时间,清除时间,(反)确认操作员,清除操作员,定位信息,链路标识,链路名称,链路类型,告警标识,告警ID,对象实例类型,自动清除,告警清除类型,影响业务标识,附加信息,到达网管UTC时间,列表流水号,关联日志id,代理ID,根源告警ID,告警是否被隐藏（屏蔽）
372105545,"NE=3146380,FR=0,S=1,CP=-1,PP=3||1|,PATH=OCh:1-ODU4:1-ODU0:72","NE=3146380,FR=0,S=1,CP=-1,PP=3||1|,PATH=OCh:1-ODU4:1-ODU0:72",移动,OptiX OSN 9600 U32,NE=3146380,H12925-南京鼓楼-电子架,36334,ODU_SNCP_STA_INDI,通信质量,次要,未确认已清除 告警,2020年12月16日 01时18分07秒 GMT+08:00,,2020年12月16日 01时19分57秒 GMT+08:00,, < 网元 > ,0-主子架-1-X3L401-1(IN1/OUT1)-OCh:1-ODU4:1-ODU0:72,,,,,13142,,是,正常清除,,"槽位=1,子槽=255,端口=1,通道=17992,倒换类型=WTR
",2020年12月16日 01时05分49秒 GMT+08:00,1091147,0,,,0
372105547,"NE=3146380,FR=0,S=1,CP=-1,PP=3||1|,PATH=OCh:1-ODU4:1-ODU0:80","NE=3146380,FR=0,S=1,CP=-1,PP=3||1|,PATH=OCh:1-ODU4:1-ODU0:80",移动,OptiX OSN 9600 U32,NE=3146380,H12925-南京鼓楼-电子架,36335,ODU_SNCP_STA_INDI,通信质量,次要,未确认已清除 告警,2020年12月16日 01时18分07秒 GMT+08:00,,2020年12月16日 01时19分57秒 GMT+08:00,, < 网元 > ,0-主子架-1-X3L401-1(IN1/OUT1)-OCh:1-ODU4:1-ODU0:80,,,,,13142,,是,正常清除,,"槽位=1,子槽=255,端口=1,通道=18000,倒换类型=WTR
",2020年12月16日 01时05分49秒 GMT+08:00,1091160,0,,,0
372105551,"NE=3146380,FR=0,S=1,CP=-1,PP=3||1|,PATH=OCh:1-ODU4:1-ODU1:35","NE=3146380,FR=0,S=1,CP=-1,PP=3||1|,PATH=OCh:1-ODU4:1-ODU1:35",移动,OptiX OSN 9600 U32,NE=3146380,H12925-南京鼓楼-电子架,36336,ODU_SNCP_STA_INDI,通信质量,次要,未确认已清除 告警,2020年12月16日 01时18分07秒 GMT+08:00,,2020年12月16日 01时19分57秒 GMT+08:00,, < 网元 > ,0-主子架-1-X3L401-1(IN1/OUT1)-OCh:1-ODU4:1-ODU1:35,,,,,13142,,是,正常清除,,"槽位=1,子槽=255,端口=1,通道=20003,倒换类型=WTR
",2020年12月16日 01时05分49秒 GMT+08:00,1089524,0,,,0
372105873,"NE=3146747,FR=5,S=34,CP=-1,PP=3||4|,PATH=OCh:1-OTU2:1","NE=3146747,FR=5,S=34,CP=-1,PP=3||4|,PATH=OCh:1-OTU2:1",移动,OptiX OSN 8800 T32,NE=3146747,H710-省干南京河西7楼,751180,BEFFEC_EXC,业务质量,提示,未确认已清除 告警,2020年12月16日 01时09分32秒 GMT+08:00,,2020年12月16日 01时09分38秒 GMT+08:00,, < 网元 > ,5-subrack-34-53NQ2-4(IN4/OUT4)-OCh:1-OTU2:1,,,,,335,,是,正常清除,是,,2020年12月16日 01时07分29秒 GMT+08:00,1088150,0,,,0
372105852,"ONE=4063250,NE=3145751,FR=2,S=12,CP=-1,PP=3||71|,OTU2=1","ONE=4063250,NE=3145751,FR=2,S=12,CP=-1,PP=3||71|,OTU2=1",移动,WDM_OADM,ONE=4063250,H217-盐城建湖分公司,1665500,BEFFEC_EXC,业务质量,次要,未确认已清除 告警,2020年12月16日 01时07分59秒 GMT+08:00,,2020年12月16日 01时08分13秒 GMT+08:00,, < 网元 > ,2-业务子架-12-52ND2-71(ODU2LP1/ODU2LP1)-OTU2:1,,,,,335,,是,正常清除,是,,2020年12月16日 01时07分25秒 GMT+08:00,1088164,0,,,0
372105891,"NE=3146384,FR=0,S=1,CP=-1,PP=3||1|,PATH=OCh:1-ODU4:1-ODU0:1","NE=3146384,FR=0,S=1,CP=-1,PP=3||1|,PATH=OCh:1-ODU4:1-ODU0:1",移动,OptiX OSN 9600 U32,NE=3146384,H12923-南京西苑--电子架,1571,ODU_SNCP_PS,通信质量,次要,未确认未清除 告警,2020年12月16日 01时20分03秒 GMT+08:00,,,,,0-主子架-1-X3L401-1(IN1/OUT1)-OCh:1-ODU4:1-ODU0:1,,,,,12541,,是,,,"槽位=1,子槽=255,端口=1,通道=17921
",2020年12月16日 01时07分39秒 GMT+08:00,1091177,0,,,0
372105929,"NE=3146380,FR=0,S=8,CP=-1,PP=3||1|,PATH=OCh:1-ODU4:1-ODU1:35","NE=3146380,FR=0,S=8,CP=-1,PP=3||1|,PATH=OCh:1-ODU4:1-ODU1:35",移动,OptiX OSN 9600 U32,NE=3146380,H12925-南京鼓楼-电子架,36368,ODU_SNCP_PS,通信质量,次要,未确认未清除 告警,2020年12月16日 01时19分57秒 GMT+08:00,,,,,0-主子架-8-X3L401-1(IN1/OUT1)-OCh:1-ODU4:1-ODU1:35,,,,,12541,,是,,,"槽位=8,子槽=255,端口=1,通道=20003
",2020年12月16日 01时07分39秒 GMT+08:00,1091206,0,,,0
372105887,"NE=3146384,FR=0,S=1,CP=-1,PP=3||1|,PATH=OCh:1-ODU4:1-ODU0:1","NE=3146384,FR=0,S=1,CP=-1,PP=3||1|,PATH=OCh:1-ODU4:1-ODU0:1",移动,OptiX OSN 9600 U32,NE=3146384,H12923-南京西苑--电子架,1568,ODU_SNCP_STA_INDI,通信质量,次要,未确认已清除 告警,2020年12月16日 01时20分03秒 GMT+08:00,,2020年12月16日 01时20分08秒 GMT+08:00,, < 网元 > ,0-主子架-1-X3L401-1(IN1/OUT1)-OCh:1-ODU4:1-ODU0:1,,,,,13142,,是,正常清除,,"槽位=1,子槽=255,端口=1,通道=17921,倒换类型=SF倒换
",2020年12月16日 01时07分39秒 GMT+08:00,1089884,0,,,0
372105889,"NE=3146384,FR=0,S=1,CP=-1,PP=3||1|,PATH=OCh:1-ODU4:1-ODU0:72","NE=3146384,FR=0,S=1,CP=-1,PP=3||1|,PATH=OCh:1-ODU4:1-ODU0:72",移动,OptiX OSN 9600 U32,NE=3146384,H12923-南京西苑--电子架,1569,ODU_SNCP_STA_INDI,通信质量,次要,未确认已清除 告警,2020年12月16日 01时20分03秒 GMT+08:00,,2020年12月16日 01时20分08秒 GMT+08:00,, < 网元 > ,0-主子架-1-X3L401-1(IN1/OUT1)-OCh:1-ODU4:1-ODU0:72,,,,,13142,,是,正常清除,,"槽位=1,子槽=255,端口=1,通道=17992,倒换类型=SF倒换
",2020年12月16日 01时07分39秒 GMT+08:00,1091130,0,,,0
372105890,"NE=3146384,FR=0,S=2,CP=-1,PP=3||1|,PATH=OCh:1-ODU4:1-ODU0:78","NE=3146384,FR=0,S=2,CP=-1,PP=3||1|,PATH=OCh:1-ODU4:1-ODU0:78",移动,OptiX OSN 9600 U32,NE=3146384,H12923-南京西苑--电子架,1570,ODU_SNCP_STA_INDI,通信质量,次要,未确认已清除 告警,2020年12月16日 01时20分03秒 GMT+08:00,,2020年12月16日 01时20分08秒 GMT+08:00,, < 网元 > ,0-主子架-2-X3L401-1(IN1/OUT1)-OCh:1-ODU4:1-ODU0:78,,,,,13142,,是,正常清除,,"槽位=2,子槽=255,端口=1,通道=17998,倒换类型=SF倒换
",2020年12月16日 01时07分39秒 GMT+08:00,1090613,0,,,0
372105894,"NE=3146380,FR=0,S=3,CP=-1,PP=3||1|,PATH=OCh:1-ODU4:1-ODU2:1","NE=3146380,FR=0,S=3,CP=-1,PP=3||1|,PATH=OCh:1-ODU4:1-ODU2:1",移动,OptiX OSN 9600 U32,NE=3146380,H12925-南京鼓楼-电子架,36337,ODU_SNCP_STA_INDI,通信质量,次要,未确认已清除 告警,2020年12月16日 01时19分56秒 GMT+08:00,,2020年12月16日 01时20分01秒 GMT+08:00,, < 网元 > ,0-主子架-3-X3L401-1(IN1/OUT1)-OCh:1-ODU4:1-ODU2:1,,,,,13142,,是,正常清除,,"槽位=3,子槽=255,端口=1,通道=20481,倒换类型=SF倒换
",2020年12月16日 01时07分39秒 GMT+08:00,1091161,0,,,0
372105932,"NE=3146380,FR=0,S=3,CP=-1,PP=3||1|,PATH=OCh:1-ODU4:1-ODU0:59","NE=3146380,FR=0,S=3,CP=-1,PP=3||1|,PATH=OCh:1-ODU4:1-ODU0:59",移动,OptiX OSN 9600 U32,NE=3146380,H12925-南京鼓楼-电子架,36371,ODU_SNCP_STA_INDI,通信质量,次要,未确认已清除 告警,2020年12月16日 01时19分57秒 GMT+08:00,,2020年12月16日 01时20分01秒 GMT+08:00,, < 网元 > ,0-主子架-3-X3L401-1(IN1/OUT1)-OCh:1-ODU4:1-ODU0:59,,,,,13142,,是,正常清除,,"槽位=3,子槽=255,端口=1,通道=17979,倒换类型=SF倒换
",2020年12月16日 01时07分39秒 GMT+08:00,1091128,0,,,0
372105933,"NE=3146380,FR=0,S=3,CP=-1,PP=3||1|,PATH=OCh:1-ODU4:1-ODU0:60","NE=3146380,FR=0,S=3,CP=-1,PP=3||1|,PATH=OCh:1-ODU4:1-ODU0:60",移动,OptiX OSN 9600 U32,NE=3146380,H12925-南京鼓楼-电子架,36372,ODU_SNCP_STA_INDI,通信质量,次要,未确认已清除 告警,2020年12月16日 01时19分57秒 GMT+08:00,,2020年12月16日 01时20分01秒 GMT+08:00,, < 网元 > ,0-主子架-3-X3L401-1(IN1/OUT1)-OCh:1-ODU4:1-ODU0:60,,,,,13142,,是,正常清除,,"槽位=3,子槽=255,端口=1,通道=17980,倒换类型=SF倒换
",2020年12月16日 01时07分39秒 GMT+08:00,1091129,0,,,0
372105934,"NE=3146380,FR=0,S=3,CP=-1,PP=3||1|,PATH=OCh:1-ODU4:1-ODU0:61","NE=3146380,FR=0,S=3,CP=-1,PP=3||1|,PATH=OCh:1-ODU4:1-ODU0:61",移动,OptiX OSN 9600 U32,NE=3146380,H12925-南京鼓楼-电子架,36373,ODU_SNCP_STA_INDI,通信质量,次要,未确认已清除 告警,2020年12月16日 01时19分57秒 GMT+08:00,,2020年12月16日 01时20分01秒 GMT+08:00,, < 网元 > ,0-主子架-3-X3L401-1(IN1/OUT1)-OCh:1-ODU4:1-ODU0:61,,,,,13142,,是,正常清除,,"槽位=3,子槽=255,端口=1,通道=17981,倒换类型=SF倒换
",2020年12月16日 01时07分39秒 GMT+08:00,1091131,0,,,0
372105935,"NE=3146380,FR=0,S=3,CP=-1,PP=3||1|,PATH=OCh:1-ODU4:1-ODU0:62","NE=3146380,FR=0,S=3,CP=-1,PP=3||1|,PATH=OCh:1-ODU4:1-ODU0:62",移动,OptiX OSN 9600 U32,NE=3146380,H12925-南京鼓楼-电子架,36374,ODU_SNCP_STA_INDI,通信质量,次要,未确认已清除 告警,2020年12月16日 01时19分57秒 GMT+08:00,,2020年12月16日 01时20分01秒 GMT+08:00,, < 网元 > ,0-主子架-3-X3L401-1(IN1/OUT1)-OCh:1-ODU4:1-ODU0:62,,,,,13142,,是,正常清除,,"槽位=3,子槽=255,端口=1,通道=17982,倒换类型=SF倒换
",2020年12月16日 01时07分39秒 GMT+08:00,1091132,0,,,0
372105936,"NE=3146380,FR=0,S=4,CP=-1,PP=3||1|,PATH=OCh:1-ODU4:1-ODU0:63","NE=3146380,FR=0,S=4,CP=-1,PP=3||1|,PATH=OCh:1-ODU4:1-ODU0:63",移动,OptiX OSN 9600 U32,NE=3146380,H12925-南京鼓楼-电子架,36375,ODU_SNCP_STA_INDI,通信质量,次要,未确认已清除 告警,2020年12月16日 01时19分57秒 GMT+08:00,,2020年12月16日 01时20分01秒 GMT+08:00,, < 网元 > ,0-主子架-4-X3L401-1(IN1/OUT1)-OCh:1-ODU4:1-ODU0:63,,,,,13142,,是,正常清除,,"槽位=4,子槽=255,端口=1,通道=17983,倒换类型=SF倒换
",2020年12月16日 01时07分39秒 GMT+08:00,1091133,0,,,0
372105937,"NE=3146380,FR=0,S=4,CP=-1,PP=3||1|,PATH=OCh:1-ODU4:1-ODU0:64","NE=3146380,FR=0,S=4,CP=-1,PP=3||1|,PATH=OCh:1-ODU4:1-ODU0:64",移动,OptiX OSN 9600 U32,NE=3146380,H12925-南京鼓楼-电子架,36376,ODU_SNCP_STA_INDI,通信质量,次要,未确认已清除 告警,2020年12月16日 01时19分57秒 GMT+08:00,,2020年12月16日 01时20分01秒 GMT+08:00,, < 网元 > ,0-主子架-4-X3L401-1(IN1/OUT1)-OCh:1-ODU4:1-ODU0:64,,,,,13142,,是,正常清除,,"槽位=4,子槽=255,端口=1,通道=17984,倒换类型=SF倒换
",2020年12月16日 01时07分39秒 GMT+08:00,1091135,0,,,0
372105938,"NE=3146380,FR=0,S=1,CP=-1,PP=3||1|,PATH=OCh:1-ODU4:1-ODU0:65","NE=3146380,FR=0,S=1,CP=-1,PP=3||1|,PATH=OCh:1-ODU4:1-ODU0:65",移动,OptiX OSN 9600 U32,NE=3146380,H12925-南京鼓楼-电子架,36377,ODU_SNCP_STA_INDI,通信质量,次要,未确认已清除 告警,2020年12月16日 01时19分57秒 GMT+08:00,,2020年12月16日 01时20分01秒 GMT+08:00,, < 网元 > ,0-主子架-1-X3L401-1(IN1/OUT1)-OCh:1-ODU4:1-ODU0:65,,,,,13142,,是,正常清除,,"槽位=1,子槽=255,端口=1,通道=17985,倒换类型=SF倒换
",2020年12月16日 01时07分39秒 GMT+08:00,1091136,0,,,0
372105939,"NE=3146380,FR=0,S=4,CP=-1,PP=3||1|,PATH=OCh:1-ODU4:1-ODU0:65","NE=3146380,FR=0,S=4,CP=-1,PP=3||1|,PATH=OCh:1-ODU4:1-ODU0:65",移动,OptiX OSN 9600 U32,NE=3146380,H12925-南京鼓楼-电子架,36378,ODU_SNCP_STA_INDI,通信质量,次要,未确认已清除 告警,2020年12月16日 01时19分57秒 GMT+08:00,,2020年12月16日 01时20分01秒 GMT+08:00,, < 网元 > ,0-主子架-4-X3L401-1(IN1/OUT1)-OCh:1-ODU4:1-ODU0:65,,,,,13142,,是,正常清除,,"槽位=4,子槽=255,端口=1,通道=17985,倒换类型=SF倒换
",2020年12月16日 01时07分39秒 GMT+08:00,1091137,0,,,0
