日志流水号,FDNName,对象标识,产品名称,网元类型,网元子设备编号,网元名称,设备告警流水号,告警名称,告警类型,告警级别,告警状态,发生时间,确认时间,清除时间,(反)确认操作员,清除操作员,定位信息,链路标识,链路名称,链路类型,告警标识,告警ID,对象实例类型,自动清除,告警清除类型,影响业务标识,附加信息,到达网管UTC时间,列表流水号,关联日志id,代理ID,根源告警ID,告警是否被隐藏（屏蔽）
370718588,OSS,"OS=1,PROC=3034,NE=3146227,PWE3=2|1264|",网管,OSS,OS=1,OSS,1078680479,SERVICE_OUTAGE,业务质量,重要,未确认已清除 告警,2020年12月8日 04时31分20秒 GMT+08:00,,2020年12月8日 04时32分17秒 GMT+08:00,, < 网元 > ,淮安技侦专网,,,,(衍生告警),20,,是,正常清除,,"Name:淮安技侦专网,Source[H45837-淮安新市公安局],Sink[H12855-南京省技侦],Level:ETH,UID:2016-07-06 09:04:14-59-pwe3",2020年12月8日 04时31分20秒 GMT+08:00,628773,0,,370718586,0
370718659,"NE=3146747,FR=5,S=34,CP=-1,PP=3||4|,PATH=OCh:1-OTU2:1","NE=3146747,FR=5,S=34,CP=-1,PP=3||4|,PATH=OCh:1-OTU2:1",移动,OptiX OSN 8800 T32,NE=3146747,H710-省干南京河西7楼,746080,BEFFEC_EXC,业务质量,提示,未确认已清除 告警,2020年12月8日 04时32分53秒 GMT+08:00,,2020年12月8日 04时33分01秒 GMT+08:00,, < 网元 > ,5-subrack-34-53NQ2-4(IN4/OUT4)-OCh:1-OTU2:1,,,,,335,,是,正常清除,是,,2020年12月8日 04时32分06秒 GMT+08:00,1059922,0,,,0
370718650,"ONE=4063270,NE=3146075,FR=0,S=2,CP=-1,PP=3||2|,PATH=OCh:1-OTU2:1","ONE=4063270,NE=3146075,FR=0,S=2,CP=-1,PP=3||2|,PATH=OCh:1-OTU2:1",移动,WDM_OADM,ONE=4063270,H304-盐城解放南路（市到县）,785044,BEFFEC_EXC,业务质量,次要,未确认已清除 告警,2020年12月8日 04时32分03秒 GMT+08:00,,2020年12月8日 04时32分27秒 GMT+08:00,, < 网元 > ,0-主子架-2-53NQ2-2(IN2/OUT2)-OCh:1-OTU2:1,,,,,335,,是,正常清除,是,,2020年12月8日 04时31分56秒 GMT+08:00,1019289,0,,,0
370718653,"NE=3146246,PW=62|5||||","NE=3146246,PW=62|5||||",移动,OptiX OSN 1800 V,NE=3146246,H12855-南京省技侦,17175120,PW_NO_TRAFFIC,通信质量,次要,未确认已清除 告警,2020年12月8日 04时32分14秒 GMT+08:00,,2020年12月8日 04时32分34秒 GMT+08:00,, < 网元 > ,"L2VPN PW:(以太,62)",,,,,13107,,是,正常清除,是,"
告警参数II(16进制) 0x00",2020年12月8日 04时31分58秒 GMT+08:00,624684,0,,,0
370718670,"NE=3146205,PW=61|5||||","NE=3146205,PW=61|5||||",移动,OptiX OSN 1800 V,NE=3146205,H43277-徐州公安局,1532001,PW_NO_TRAFFIC,通信质量,次要,未确认已清除 告警,2020年12月8日 04时32分33秒 GMT+08:00,,2020年12月8日 04时32分43秒 GMT+08:00,, < 网元 > ,"L2VPN PW:(以太,61)",,,,,13107,,是,正常清除,是,"
告警参数II(16进制) 0x00",2020年12月8日 04时32分17秒 GMT+08:00,1074883,0,,,0
370718679,"NE=3146246,PW=61|5||||","NE=3146246,PW=61|5||||",移动,OptiX OSN 1800 V,NE=3146246,H12855-南京省技侦,17175122,PW_NO_TRAFFIC,通信质量,次要,未确认已清除 告警,2020年12月8日 04时32分34秒 GMT+08:00,,2020年12月8日 04时32分44秒 GMT+08:00,, < 网元 > ,"L2VPN PW:(以太,61)",,,,,13107,,是,正常清除,是,"
告警参数II(16进制) 0x01",2020年12月8日 04时32分18秒 GMT+08:00,926489,0,,,0
370718673,OSS,"OS=1,PROC=3034,NE=3146205,PWE3=2|564|",网管,OSS,OS=1,OSS,1078680487,SERVICE_OUTAGE,业务质量,重要,未确认已清除 告警,2020年12月8日 04时32分17秒 GMT+08:00,,2020年12月8日 04时32分39秒 GMT+08:00,, < 网元 > ,徐州技侦专网,,,,(衍生告警),20,,是,正常清除,,"Name:徐州技侦专网,Source[H43277-徐州公安局],Sink[H12855-南京省技侦],Level:ETH,UID:2016-07-06 09:05:11-60-pwe3",2020年12月8日 04时32分17秒 GMT+08:00,948130,0,,370718670,0
370718682,"NE=3146148,PW=70|5||||","NE=3146148,PW=70|5||||",移动,OptiX OSN 1800 V,NE=3146148,H33293-南通公安局,3023610,PW_NO_TRAFFIC,通信质量,次要,未确认已清除 告警,2020年12月8日 04时32分38秒 GMT+08:00,,2020年12月8日 04时32分48秒 GMT+08:00,, < 网元 > ,"L2VPN PW:(以太,70)",,,,,13107,,是,正常清除,是,"
告警参数II(16进制) 0x00",2020年12月8日 04时32分21秒 GMT+08:00,1025752,0,,,0
370718685,OSS,"OS=1,PROC=3034,NE=3146148,PWE3=2|1297|",网管,OSS,OS=1,OSS,1078680490,SERVICE_OUTAGE,业务质量,重要,未确认已清除 告警,2020年12月8日 04时32分23秒 GMT+08:00,,2020年12月8日 04时32分42秒 GMT+08:00,, < 网元 > ,南通技侦专网,,,,(衍生告警),20,,是,正常清除,,"Name:南通技侦专网,Source[H33293-南通公安局],Sink[H12855-南京省技侦],Level:ETH,UID:2016-09-29 04:14:49-69-pwe3",2020年12月8日 04时32分23秒 GMT+08:00,629074,0,,370718682,0
370718671,"NE=3146053,PW=71|5||||","NE=3146053,PW=71|5||||",移动,OptiX OSN 1800 V,NE=3146053,H30477-镇江公安局,1357870,PW_NO_TRAFFIC,通信质量,次要,未确认已清除 告警,2020年12月8日 04时32分33秒 GMT+08:00,,2020年12月8日 04时32分53秒 GMT+08:00,, < 网元 > ,"L2VPN PW:(以太,71)",,,,,13107,,是,正常清除,是,"
告警参数II(16进制) 0x00",2020年12月8日 04时32分17秒 GMT+08:00,988794,0,,,0
370718678,"NE=3146246,PW=60|5||||","NE=3146246,PW=60|5||||",移动,OptiX OSN 1800 V,NE=3146246,H12855-南京省技侦,17175121,PW_NO_TRAFFIC,通信质量,次要,未确认已清除 告警,2020年12月8日 04时32分34秒 GMT+08:00,,2020年12月8日 04时32分55秒 GMT+08:00,, < 网元 > ,"L2VPN PW:(以太,60)",,,,,13107,,是,正常清除,是,"
告警参数II(16进制) 0x00",2020年12月8日 04时32分18秒 GMT+08:00,935154,0,,,0
