日志流水号,FDNName,对象标识,产品名称,网元类型,网元子设备编号,网元名称,设备告警流水号,告警名称,告警类型,告警级别,告警状态,发生时间,确认时间,清除时间,(反)确认操作员,清除操作员,定位信息,链路标识,链路名称,链路类型,告警标识,告警ID,对象实例类型,自动清除,告警清除类型,影响业务标识,附加信息,到达网管UTC时间,列表流水号,关联日志id,代理ID,根源告警ID,告警是否被隐藏（屏蔽）
368588597,"NE=3146246,PW=60|5||||","NE=3146246,PW=60|5||||",移动,OptiX OSN 1800 V,NE=3146246,H12855-南京省技侦,17024945,PW_NO_TRAFFIC,通信质量,次要,未确认已清除 告警,2020年11月21日 16时10分27秒 GMT+08:00,,2020年11月21日 16时10分47秒 GMT+08:00,, < 网元 > ,"L2VPN PW:(以太,60)",,,,,13107,,是,正常清除,是,"
告警参数II(16进制) 0x00",2020年11月21日 16时09分26秒 GMT+08:00,935154,0,,,0
368588598,"NE=3146246,PW=62|5||||","NE=3146246,PW=62|5||||",移动,OptiX OSN 1800 V,NE=3146246,H12855-南京省技侦,17024946,PW_NO_TRAFFIC,通信质量,次要,未确认已清除 告警,2020年11月21日 16时10分27秒 GMT+08:00,,2020年11月21日 16时10分47秒 GMT+08:00,, < 网元 > ,"L2VPN PW:(以太,62)",,,,,13107,,是,正常清除,是,"
告警参数II(16进制) 0x00",2020年11月21日 16时09分26秒 GMT+08:00,624684,0,,,0
368588600,"NE=3146227,PW=60|5||||","NE=3146227,PW=60|5||||",移动,OptiX OSN 1800 V,NE=3146227,H45837-淮安新市公安局,2937706,PW_NO_TRAFFIC,通信质量,次要,未确认已清除 告警,2020年11月21日 16时10分27秒 GMT+08:00,,2020年11月21日 16时10分42秒 GMT+08:00,, < 网元 > ,"L2VPN PW:(以太,60)",,,,,13107,,是,正常清除,是,"
告警参数II(16进制) 0x01",2020年11月21日 16时09分27秒 GMT+08:00,624682,0,,,0
368588617,"NE=3146246,PW=61|5||||","NE=3146246,PW=61|5||||",移动,OptiX OSN 1800 V,NE=3146246,H12855-南京省技侦,17024950,PW_NO_TRAFFIC,通信质量,次要,未确认已清除 告警,2020年11月21日 16时10分37秒 GMT+08:00,,2020年11月21日 16时10分47秒 GMT+08:00,, < 网元 > ,"L2VPN PW:(以太,61)",,,,,13107,,是,正常清除,是,"
告警参数II(16进制) 0x01",2020年11月21日 16时09分36秒 GMT+08:00,926489,0,,,0
368588635,"ONE=4063238,NE=3145737,FR=5,S=6,CP=-1,PP=3||72|,OTU2=1","ONE=4063238,NE=3145737,FR=5,S=6,CP=-1,PP=3||72|,OTU2=1",移动,WDM_OADM,ONE=4063238,H229-盐城开发区（市到县）,4317412,BEFFEC_EXC,业务质量,次要,未确认已清除 告警,2020年11月21日 16时10分35秒 GMT+08:00,,2020年11月21日 16时10分39秒 GMT+08:00,, < 网元 > ,5-开发区（市到县扩）-6-52ND2-72(ODU2LP2/ODU2LP2)-OTU2:1,,,,,335,,是,正常清除,是,,2020年11月21日 16时09分45秒 GMT+08:00,1014613,0,,,0
368588427,"NE=3146355,FR=0,S=20,CP=-1,PP=3||11|,CLIENT=1","NE=3146355,FR=0,S=20,CP=-1,PP=3||11|,CLIENT=1",移动,OptiX OSN 9600 U64,NE=3146355,H12824-南京河西六楼-电子架(核心02),351944,RMON_ALM_INBADOCTS_OVER,业务质量,次要,未确认已清除 告警,2020年11月21日 16时08分12秒 GMT+08:00,,2020年11月21日 16时10分08秒 GMT+08:00,, < 网元 > ,0-主子架-20-Y1C130-11(RX11/TX11)-CLIENT:1,,,,,299,,是,正常清除,是,"槽位=20,子槽=255,端口=11,通道=1
",2020年11月21日 16时07分48秒 GMT+08:00,1071664,0,,,0
368588604,OSS,"OS=1,PROC=3034,NE=3146202,PWE3=2|987|",网管,OSS,OS=1,OSS,1078490966,SERVICE_OUTAGE,业务质量,重要,未确认已清除 告警,2020年11月21日 16时09分29秒 GMT+08:00,,2020年11月21日 16时09分53秒 GMT+08:00,, < 网元 > ,连云港技侦专网,,,,(衍生告警),20,,是,正常清除,,"Name:连云港技侦专网,Source[H48397-连云港公安局],Sink[H12855-南京省技侦],Level:ETH,UID:2016-07-06 09:06:29-61-pwe3",2020年11月21日 16时09分29秒 GMT+08:00,628802,0,,368588598,0
368588641,"ONE=4063270,NE=3146075,FR=0,S=2,CP=-1,PP=3||2|,PATH=OCh:1-OTU2:1","ONE=4063270,NE=3146075,FR=0,S=2,CP=-1,PP=3||2|,PATH=OCh:1-OTU2:1",移动,WDM_OADM,ONE=4063270,H304-盐城解放南路（市到县）,774926,BEFFEC_EXC,业务质量,次要,未确认已清除 告警,2020年11月21日 16时10分32秒 GMT+08:00,,2020年11月21日 16时10分36秒 GMT+08:00,, < 网元 > ,0-主子架-2-53NQ2-2(IN2/OUT2)-OCh:1-OTU2:1,,,,,335,,是,正常清除,是,,2020年11月21日 16时09分49秒 GMT+08:00,1019289,0,,,0
368588630,"NE=3146053,PW=71|5||||","NE=3146053,PW=71|5||||",移动,OptiX OSN 1800 V,NE=3146053,H30477-镇江公安局,1312098,PW_NO_TRAFFIC,通信质量,次要,未确认已清除 告警,2020年11月21日 16时10分43秒 GMT+08:00,,2020年11月21日 16时10分53秒 GMT+08:00,, < 网元 > ,"L2VPN PW:(以太,71)",,,,,13107,,是,正常清除,是,"
告警参数II(16进制) 0x00",2020年11月21日 16时09分42秒 GMT+08:00,988794,0,,,0
368588620,"NE=3146148,PW=70|5||||","NE=3146148,PW=70|5||||",移动,OptiX OSN 1800 V,NE=3146148,H33293-南通公安局,2977152,PW_NO_TRAFFIC,通信质量,次要,未确认已清除 告警,2020年11月21日 16时10分41秒 GMT+08:00,,2020年11月21日 16时10分56秒 GMT+08:00,, < 网元 > ,"L2VPN PW:(以太,70)",,,,,13107,,是,正常清除,是,"
告警参数II(16进制) 0x00",2020年11月21日 16时09分38秒 GMT+08:00,1025752,0,,,0
