日志流水号,FDNName,对象标识,产品名称,网元类型,网元子设备编号,网元名称,设备告警流水号,告警名称,告警类型,告警级别,告警状态,发生时间,确认时间,清除时间,(反)确认操作员,清除操作员,定位信息,链路标识,链路名称,链路类型,告警标识,告警ID,对象实例类型,自动清除,告警清除类型,影响业务标识,附加信息,到达网管UTC时间,列表流水号,关联日志id,代理ID,根源告警ID,告警是否被隐藏（屏蔽）
369279781,"NE=3146053,PW=71|5||||","NE=3146053,PW=71|5||||",移动,OptiX OSN 1800 V,NE=3146053,H30477-镇江公安局,1326088,PW_NO_TRAFFIC,通信质量,次要,未确认已清除 告警,2020年11月26日 16时17分11秒 GMT+08:00,,2020年11月26日 16时17分31秒 GMT+08:00,, < 网元 > ,"L2VPN PW:(以太,71)",,,,,13107,,是,正常清除,是,"
告警参数II(16进制) 0x00",2020年11月26日 16时15分52秒 GMT+08:00,988794,0,,,0
369279784,OSS,"OS=1,PROC=3034,NE=3146053,PWE3=2|800|",网管,OSS,OS=1,OSS,1078548083,SERVICE_OUTAGE,业务质量,重要,未确认已清除 告警,2020年11月26日 16时15分53秒 GMT+08:00,,2020年11月26日 16时16分20秒 GMT+08:00,, < 网元 > ,镇江技侦专网,,,,(衍生告警),20,,是,正常清除,,"Name:镇江技侦专网,Source[H30477-镇江公安局],Sink[H12855-南京省技侦],Level:ETH,UID:2016-09-29 04:15:48-70-pwe3",2020年11月26日 16时15分53秒 GMT+08:00,946695,0,,369279781,0
369279791,"NE=3146246,PW=62|5||||","NE=3146246,PW=62|5||||",移动,OptiX OSN 1800 V,NE=3146246,H12855-南京省技侦,17077190,PW_NO_TRAFFIC,通信质量,次要,未确认已清除 告警,2020年11月26日 16时17分16秒 GMT+08:00,,2020年11月26日 16时17分36秒 GMT+08:00,, < 网元 > ,"L2VPN PW:(以太,62)",,,,,13107,,是,正常清除,是,"
告警参数II(16进制) 0x00",2020年11月26日 16时15分57秒 GMT+08:00,624684,0,,,0
369279816,"NE=3146205,PW=61|5||||","NE=3146205,PW=61|5||||",移动,OptiX OSN 1800 V,NE=3146205,H43277-徐州公安局,1497682,PW_NO_TRAFFIC,通信质量,次要,未确认已清除 告警,2020年11月26日 16时17分34秒 GMT+08:00,,2020年11月26日 16时17分44秒 GMT+08:00,, < 网元 > ,"L2VPN PW:(以太,61)",,,,,13107,,是,正常清除,是,"
告警参数II(16进制) 0x00",2020年11月26日 16时16分15秒 GMT+08:00,1074883,0,,,0
369279798,"NE=3146246,PW=60|5||||","NE=3146246,PW=60|5||||",移动,OptiX OSN 1800 V,NE=3146246,H12855-南京省技侦,17077191,PW_NO_TRAFFIC,通信质量,次要,未确认已清除 告警,2020年11月26日 16时17分26秒 GMT+08:00,,2020年11月26日 16时17分46秒 GMT+08:00,, < 网元 > ,"L2VPN PW:(以太,60)",,,,,13107,,是,正常清除,是,"
告警参数II(16进制) 0x00",2020年11月26日 16时16分07秒 GMT+08:00,935154,0,,,0
369279803,OSS,"OS=1,PROC=3034,NE=3146227,PWE3=2|1264|",网管,OSS,OS=1,OSS,1078548086,SERVICE_OUTAGE,业务质量,重要,未确认已清除 告警,2020年11月26日 16时16分08秒 GMT+08:00,,2020年11月26日 16时16分36秒 GMT+08:00,, < 网元 > ,淮安技侦专网,,,,(衍生告警),20,,是,正常清除,,"Name:淮安技侦专网,Source[H45837-淮安新市公安局],Sink[H12855-南京省技侦],Level:ETH,UID:2016-07-06 09:04:14-59-pwe3",2020年11月26日 16时16分08秒 GMT+08:00,628773,0,,369279798,0
369279819,"NE=3146246,PW=61|5||||","NE=3146246,PW=61|5||||",移动,OptiX OSN 1800 V,NE=3146246,H12855-南京省技侦,17077192,PW_NO_TRAFFIC,通信质量,次要,未确认已清除 告警,2020年11月26日 16时17分36秒 GMT+08:00,,2020年11月26日 16时17分46秒 GMT+08:00,, < 网元 > ,"L2VPN PW:(以太,61)",,,,,13107,,是,正常清除,是,"
告警参数II(16进制) 0x01",2020年11月26日 16时16分17秒 GMT+08:00,926489,0,,,0
369279820,OSS,"OS=1,PROC=3034,NE=3146205,PWE3=2|564|",网管,OSS,OS=1,OSS,1078548087,SERVICE_OUTAGE,业务质量,重要,未确认已清除 告警,2020年11月26日 16时16分17秒 GMT+08:00,,2020年11月26日 16时16分36秒 GMT+08:00,, < 网元 > ,徐州技侦专网,,,,(衍生告警),20,,是,正常清除,,"Name:徐州技侦专网,Source[H43277-徐州公安局],Sink[H12855-南京省技侦],Level:ETH,UID:2016-07-06 09:05:11-60-pwe3",2020年11月26日 16时16分17秒 GMT+08:00,948130,0,,369279816,0
369279833,"NE=3146355,FR=0,S=20,CP=-1,PP=3||11|,CLIENT=1","NE=3146355,FR=0,S=20,CP=-1,PP=3||11|,CLIENT=1",移动,OptiX OSN 9600 U64,NE=3146355,H12824-南京河西六楼-电子架(核心02),353445,RMON_ALM_INBADOCTS_OVER,业务质量,次要,未确认已清除 告警,2020年11月26日 16时16分57秒 GMT+08:00,,2020年11月26日 16时17分09秒 GMT+08:00,, < 网元 > ,0-主子架-20-Y1C130-11(RX11/TX11)-CLIENT:1,,,,,299,,是,正常清除,是,"槽位=20,子槽=255,端口=11,通道=1
",2020年11月26日 16时16分23秒 GMT+08:00,1071664,0,,,0
369279835,"NE=3146148,PW=70|5||||","NE=3146148,PW=70|5||||",移动,OptiX OSN 1800 V,NE=3146148,H33293-南通公安局,2991099,PW_NO_TRAFFIC,通信质量,次要,未确认已清除 告警,2020年11月26日 16时17分44秒 GMT+08:00,,2020年11月26日 16时17分54秒 GMT+08:00,, < 网元 > ,"L2VPN PW:(以太,70)",,,,,13107,,是,正常清除,是,"
告警参数II(16进制) 0x00",2020年11月26日 16时16分24秒 GMT+08:00,1025752,0,,,0
