日志流水号,FDNName,对象标识,产品名称,网元类型,网元子设备编号,网元名称,设备告警流水号,告警名称,告警类型,告警级别,告警状态,发生时间,确认时间,清除时间,(反)确认操作员,清除操作员,定位信息,链路标识,链路名称,链路类型,告警标识,告警ID,对象实例类型,自动清除,告警清除类型,影响业务标识,附加信息,到达网管UTC时间,列表流水号,关联日志id,代理ID,根源告警ID,告警是否被隐藏（屏蔽）
371217953,"ONE=4063270,NE=3146075,FR=0,S=2,CP=-1,PP=3||2|,PATH=OCh:1-OTU2:1","ONE=4063270,NE=3146075,FR=0,S=2,CP=-1,PP=3||2|,PATH=OCh:1-OTU2:1",移动,WDM_OADM,ONE=4063270,H304-盐城解放南路（市到县）,786059,BEFFEC_EXC,业务质量,次要,未确认已清除 告警,2020年12月11日 22时28分54秒 GMT+08:00,,2020年12月11日 23时00分17秒 GMT+08:00,, < 网元 > ,0-主子架-2-53NQ2-2(IN2/OUT2)-OCh:1-OTU2:1,,,,,335,,是,正常清除,是,,2020年12月11日 22时28分36秒 GMT+08:00,1019289,0,,,0
371221228,"NE=3146053,PW=71|5||||","NE=3146053,PW=71|5||||",移动,OptiX OSN 1800 V,NE=3146053,H30477-镇江公安局,1368268,PW_NO_TRAFFIC,通信质量,次要,未确认已清除 告警,2020年12月11日 22时59分35秒 GMT+08:00,,2020年12月11日 23时00分21秒 GMT+08:00,, < 网元 > ,"L2VPN PW:(以太,71)",,,,,13107,,是,正常清除,是,"
告警参数II(16进制) 0x00",2020年12月11日 22时59分06秒 GMT+08:00,988794,0,,,0
371221167,OSS,"OS=1,PROC=3034,NE=3146053,PWE3=2|800|",网管,OSS,OS=1,OSS,1078721384,SERVICE_OUTAGE,业务质量,重要,未确认已清除 告警,2020年12月11日 22时58分39秒 GMT+08:00,,2020年12月11日 23时00分02秒 GMT+08:00,, < 网元 > ,镇江技侦专网,,,,(衍生告警),20,,是,正常清除,,"Name:镇江技侦专网,Source[H30477-镇江公安局],Sink[H12855-南京省技侦],Level:ETH,UID:2016-09-29 04:15:48-70-pwe3",2020年12月11日 22时58分39秒 GMT+08:00,946695,0,,371221156,0
371221297,"NE=3146148,PW=70|5||||","NE=3146148,PW=70|5||||",移动,OptiX OSN 1800 V,NE=3146148,H33293-南通公安局,3034211,PW_NO_TRAFFIC,通信质量,次要,未确认已清除 告警,2020年12月11日 23时00分09秒 GMT+08:00,,2020年12月11日 23时00分29秒 GMT+08:00,, < 网元 > ,"L2VPN PW:(以太,70)",,,,,13107,,是,正常清除,是,"
告警参数II(16进制) 0x00",2020年12月11日 22时59分39秒 GMT+08:00,1025752,0,,,0
371221300,OSS,"OS=1,PROC=3034,NE=3146148,PWE3=2|1297|",网管,OSS,OS=1,OSS,1078721392,SERVICE_OUTAGE,业务质量,重要,未确认已清除 告警,2020年12月11日 22时59分40秒 GMT+08:00,,2020年12月11日 23时00分08秒 GMT+08:00,, < 网元 > ,南通技侦专网,,,,(衍生告警),20,,是,正常清除,,"Name:南通技侦专网,Source[H33293-南通公安局],Sink[H12855-南京省技侦],Level:ETH,UID:2016-09-29 04:14:49-69-pwe3",2020年12月11日 22时59分40秒 GMT+08:00,629074,0,,371221297,0
371221318,"NE=3146246,PW=60|5||||","NE=3146246,PW=60|5||||",移动,OptiX OSN 1800 V,NE=3146246,H12855-南京省技侦,17207240,PW_NO_TRAFFIC,通信质量,次要,未确认已清除 告警,2020年12月11日 23时00分16秒 GMT+08:00,,2020年12月11日 23时00分31秒 GMT+08:00,, < 网元 > ,"L2VPN PW:(以太,60)",,,,,13107,,是,正常清除,是,"
告警参数II(16进制) 0x00",2020年12月11日 22时59分46秒 GMT+08:00,935154,0,,,0
371221301,"NE=3146751,FR=0,S=13,CP=-1,PP=3||205|,CLIENT=1","NE=3146751,FR=0,S=13,CP=-1,PP=3||205|,CLIENT=1",移动,OptiX OSN 8800 T32,NE=3146751,H702-省干南京鼓楼三楼,378406,REM_SF,通信质量,次要,未确认已清除 告警,2020年12月11日 23时01分04秒 GMT+08:00,,2020年12月11日 23时01分33秒 GMT+08:00,, < 网元 > ,0-主子架（河西）-13-52TOM-205(ClientLP5/ClientLP5)-CLIENT:1:1,,,,,63604,,是,正常清除,是,,2020年12月11日 22时59分41秒 GMT+08:00,1085988,0,,,0
371221321,OSS,"OS=1,PROC=3034,NE=3146227,PWE3=2|1264|",网管,OSS,OS=1,OSS,1078721393,SERVICE_OUTAGE,业务质量,重要,未确认已清除 告警,2020年12月11日 22时59分49秒 GMT+08:00,,2020年12月11日 23时00分11秒 GMT+08:00,, < 网元 > ,淮安技侦专网,,,,(衍生告警),20,,是,正常清除,,"Name:淮安技侦专网,Source[H45837-淮安新市公安局],Sink[H12855-南京省技侦],Level:ETH,UID:2016-07-06 09:04:14-59-pwe3",2020年12月11日 22时59分49秒 GMT+08:00,628773,0,,371221318,0
371221328,"ONE=4063255,NE=3145767,FR=2,S=11,CP=-1,PP=3||73|,OTU2=1","ONE=4063255,NE=3145767,FR=2,S=11,CP=-1,PP=3||73|,OTU2=1",移动,WDM_OADM,ONE=4063255,H222-盐城滨海分公司,1590992,BEFFEC_EXC,业务质量,次要,未确认已清除 告警,2020年12月11日 23时00分07秒 GMT+08:00,,2020年12月11日 23时00分24秒 GMT+08:00,, < 网元 > ,2-业务子架-11-52NQ2-73(ODU2LP3/ODU2LP3)-OTU2:1,,,,,335,,是,正常清除,是,,2020年12月11日 22时59分55秒 GMT+08:00,1084204,0,,,0
371221329,"NE=3146246,PW=62|5||||","NE=3146246,PW=62|5||||",移动,OptiX OSN 1800 V,NE=3146246,H12855-南京省技侦,17207241,PW_NO_TRAFFIC,通信质量,次要,未确认已清除 告警,2020年12月11日 23时00分26秒 GMT+08:00,,2020年12月11日 23时00分41秒 GMT+08:00,, < 网元 > ,"L2VPN PW:(以太,62)",,,,,13107,,是,正常清除,是,"
告警参数II(16进制) 0x00",2020年12月11日 22时59分56秒 GMT+08:00,624684,0,,,0
