日志流水号,FDNName,对象标识,产品名称,网元类型,网元子设备编号,网元名称,设备告警流水号,告警名称,告警类型,告警级别,告警状态,发生时间,确认时间,清除时间,(反)确认操作员,清除操作员,定位信息,链路标识,链路名称,链路类型,告警标识,告警ID,对象实例类型,自动清除,告警清除类型,影响业务标识,附加信息,到达网管UTC时间,列表流水号,关联日志id,代理ID,根源告警ID,告警是否被隐藏（屏蔽）
368627099,OSS,"OS=1,PROC=3034,NE=3146205,PWE3=2|564|",网管,OSS,OS=1,OSS,1078493538,SERVICE_OUTAGE,业务质量,重要,未确认已清除 告警,2020年11月21日 21时58分35秒 GMT+08:00,,2020年11月21日 21时58分54秒 GMT+08:00,, < 网元 > ,徐州技侦专网,,,,(衍生告警),20,,是,正常清除,,"Name:徐州技侦专网,Source[H43277-徐州公安局],Sink[H12855-南京省技侦],Level:ETH,UID:2016-07-06 09:05:11-60-pwe3",2020年11月21日 21时58分36秒 GMT+08:00,948130,0,,368627094,0
368627107,"ONE=4063349,NE=3145996,FR=2,S=1,CP=-1,PP=3||4|,CLIENT=1","ONE=4063349,NE=3145996,FR=2,S=1,CP=-1,PP=3||4|,CLIENT=1",移动,WDM_OADM,ONE=4063349,H10030-苏州跨塘汇聚层,2212242,IN_PWR_LOW,设备故障,重要,未确认已清除 告警,2020年11月21日 21时59分44秒 GMT+08:00,,2020年11月21日 21时59分49秒 GMT+08:00,, < 网元 > ,2-4C-业务子架-1-TOM-4(RX2/TX2)-CLIENT:1,,,,,32,,是,正常清除,是,,2020年11月21日 21时58分44秒 GMT+08:00,1020460,0,,,0
368627058,"NE=3146825,FR=0,S=24,CP=-1,PP=3||1|,OCH=1","NE=3146825,FR=0,S=24,CP=-1,PP=3||1|,OCH=1",移动,OptiX OSN 8800 T32,NE=3146825,H701-省干南京丹凤街四楼,380113,IN_PWR_HIGH,设备故障,重要,未确认已清除 告警,2020年11月21日 22时01分12秒 GMT+08:00,,2020年11月21日 22时02分00秒 GMT+08:00,, < 网元 > ,0-鼓楼方向-24-52NQ2-1(IN1/OUT1)-OCH:1,,,,,31,,是,正常清除,是,,2020年11月21日 21时58分08秒 GMT+08:00,1074318,0,,,0
368627089,"NE=3146053,PW=71|5||||","NE=3146053,PW=71|5||||",移动,OptiX OSN 1800 V,NE=3146053,H30477-镇江公安局,1312777,PW_NO_TRAFFIC,通信质量,次要,未确认已清除 告警,2020年11月21日 21时59分36秒 GMT+08:00,,2020年11月21日 21时59分56秒 GMT+08:00,, < 网元 > ,"L2VPN PW:(以太,71)",,,,,13107,,是,正常清除,是,"
告警参数II(16进制) 0x00",2020年11月21日 21时58分32秒 GMT+08:00,988794,0,,,0
368627090,"NE=3146148,PW=70|5||||","NE=3146148,PW=70|5||||",移动,OptiX OSN 1800 V,NE=3146148,H33293-南通公安局,2977827,PW_NO_TRAFFIC,通信质量,次要,未确认已清除 告警,2020年11月21日 21时59分37秒 GMT+08:00,,2020年11月21日 21时59分57秒 GMT+08:00,, < 网元 > ,"L2VPN PW:(以太,70)",,,,,13107,,是,正常清除,是,"
告警参数II(16进制) 0x00",2020年11月21日 21时58分33秒 GMT+08:00,1025752,0,,,0
368627091,"NE=3146246,PW=70|5||||","NE=3146246,PW=70|5||||",移动,OptiX OSN 1800 V,NE=3146246,H12855-南京省技侦,17029043,PW_NO_TRAFFIC,通信质量,次要,未确认已清除 告警,2020年11月21日 21时59分37秒 GMT+08:00,,2020年11月21日 21时59分58秒 GMT+08:00,, < 网元 > ,"L2VPN PW:(以太,70)",,,,,13107,,是,正常清除,是,"
告警参数II(16进制) 0x01",2020年11月21日 21时58分34秒 GMT+08:00,618931,0,,,0
368627092,"NE=3146246,PW=71|5||||","NE=3146246,PW=71|5||||",移动,OptiX OSN 1800 V,NE=3146246,H12855-南京省技侦,17029044,PW_NO_TRAFFIC,通信质量,次要,未确认已清除 告警,2020年11月21日 21时59分37秒 GMT+08:00,,2020年11月21日 21时59分58秒 GMT+08:00,, < 网元 > ,"L2VPN PW:(以太,71)",,,,,13107,,是,正常清除,是,"
告警参数II(16进制) 0x01",2020年11月21日 21时58分34秒 GMT+08:00,913903,0,,,0
368627093,"NE=3146246,PW=73|5||||","NE=3146246,PW=73|5||||",移动,OptiX OSN 1800 V,NE=3146246,H12855-南京省技侦,17029045,PW_NO_TRAFFIC,通信质量,次要,未确认已清除 告警,2020年11月21日 21时59分37秒 GMT+08:00,,2020年11月21日 21时59分58秒 GMT+08:00,, < 网元 > ,"L2VPN PW:(以太,73)",,,,,13107,,是,正常清除,是,"
告警参数II(16进制) 0x00",2020年11月21日 21时58分34秒 GMT+08:00,624679,0,,,0
368626616,"ONE=4063478,NE=3146438,FR=0,S=10,CP=-1,PP=0||65535|,FB=30|1||","ONE=4063478,NE=3146438,FR=0,S=10,CP=-1,PP=0||65535|,FB=30|1||",移动,WDM_OADM,ONE=4063478,H30003-苏州昆山思常路100G,110175,HARD_ERR,设备故障,紧急,未确认已清除 告警,2020年11月21日 21时54分52秒 GMT+08:00,,2020年11月21日 21时59分32秒 GMT+08:00,, < 网元 > ,0-主子架-10-Y1C130,,,,,12580,,是,正常清除,,"板位号=10,extpara1=18,extpara2=1,extpara3=0,extpara4=255,extpara5=255,extpara6=255
",2020年11月21日 21时54分15秒 GMT+08:00,1069983,0,,,0
368627102,OSS,"OS=1,PROC=3034,NE=3146203,PWE3=2|769|",网管,OSS,OS=1,OSS,1078493541,SERVICE_OUTAGE,业务质量,重要,未确认已清除 告警,2020年11月21日 21时58分35秒 GMT+08:00,,2020年11月21日 21时59分06秒 GMT+08:00,, < 网元 > ,苏州技侦专网,,,,(衍生告警),20,,是,正常清除,,"Name:苏州技侦专网,Source[H30733-苏州公安局],Sink[H12855-南京省技侦],Level:ETH,UID:2016-09-29 04:17:34-72-pwe3",2020年11月21日 21时58分36秒 GMT+08:00,506645,0,,368627093,0
