网元类型,网元子设备编号,网元名称,设备告警流水号,告警名称,告警类型,告警级别,告警状态,发生时间,确认时间,清除时间,(反)确认操作员,清除操作员,定位信息,链路标识,链路名称,链路类型,告警标识,告警ID,对象实例类型,自动清除,告警清除类型,影响业务标识,到达网管UTC时间,列表流水号,关联日志id,代理ID,根源告警ID,告警是否被隐藏（屏蔽）
OptiX OSN 9600,NE=3146886,H1058-猿尝耶喜曰观仁人-备,3841,FIBER_BREAK_POS,设备故障,提示,未确认未清除 告警,2020年10月24日 23时55分37秒 GMT+08:00,,,,,0-subrack-15-11SFIU-1(LINE1/LINE2)-OTS:1,,,,,14009,,是,,,2020年10月24日 23时55分37秒 GMT+08:00,1014734,0,,,0
OptiX OSN 9600,NE=3146826,H1059-猿尝心退发客年时求人光子架,50332673,FIBER_BREAK_POS,设备故障,提示,未确认未清除 告警,2020年10月24日 23时59分41秒 GMT+08:00,,,,,3-耶喜方向备用（奇）-4-11SFIU-1(LINE1/LINE2)-OTS:1,,,,,14009,,是,,,2020年10月24日 23时59分41秒 GMT+08:00,1040373,0,,,0
WDM_OADM,ONE=4063745,P-H20021-何远中志跃OSN1800,110077,MUT_LOS,通信质量,紧急,已确认未清除 告警,2020年10月24日 23时53分56秒 GMT+08:00,2020年10月25日 08时44分55秒 GMT+08:00,,admin-sz,,0-Shelf0-1-OPU-1(IN)-OTS:1,,,,,186,,是,,是,2020年10月24日 15时53分52秒 GMT+08:00,1054386,0,,,0
