日志流水号,FDNName,对象标识,产品名称,网元类型,网元子设备编号,网元名称,设备告警流水号,告警名称,告警类型,告警级别,告警状态,发生时间,确认时间,清除时间,(反)确认操作员,清除操作员,定位信息,链路标识,链路名称,链路类型,告警标识,告警ID,对象实例类型,自动清除,告警清除类型,影响业务标识,附加信息,到达网管UTC时间,列表流水号,关联日志id,代理ID,根源告警ID,告警是否被隐藏（屏蔽）
370568662,"NE=3146148,PW=70|5||||","NE=3146148,PW=70|5||||",移动,OptiX OSN 1800 V,NE=3146148,H33293-南通公安局,3019971,PW_NO_TRAFFIC,通信质量,次要,未确认已清除 告警,2020年12月6日 21时39分31秒 GMT+08:00,,2020年12月6日 21时39分51秒 GMT+08:00,, < 网元 > ,"L2VPN PW:(以太,70)",,,,,13107,,是,正常清除,是,"
告警参数II(16进制) 0x00",2020年12月6日 21时39分18秒 GMT+08:00,1025752,0,,,0
370568665,OSS,"OS=1,PROC=3034,NE=3146205,PWE3=2|564|",网管,OSS,OS=1,OSS,1078666342,SERVICE_OUTAGE,业务质量,重要,未确认已清除 告警,2020年12月6日 21时39分20秒 GMT+08:00,,2020年12月6日 21时39分44秒 GMT+08:00,, < 网元 > ,徐州技侦专网,,,,(衍生告警),20,,是,正常清除,,"Name:徐州技侦专网,Source[H43277-徐州公安局],Sink[H12855-南京省技侦],Level:ETH,UID:2016-07-06 09:05:11-60-pwe3",2020年12月6日 21时39分20秒 GMT+08:00,948130,0,,370568661,0
370568638,OSS,"OS=1,PROC=3034,NE=3146148,PWE3=2|1297|",网管,OSS,OS=1,OSS,1078666338,SERVICE_OUTAGE,业务质量,重要,未确认已清除 告警,2020年12月6日 21时38分49秒 GMT+08:00,,2020年12月6日 21时39分47秒 GMT+08:00,, < 网元 > ,南通技侦专网,,,,(衍生告警),20,,是,正常清除,,"Name:南通技侦专网,Source[H33293-南通公安局],Sink[H12855-南京省技侦],Level:ETH,UID:2016-09-29 04:14:49-69-pwe3",2020年12月6日 21时38分49秒 GMT+08:00,629074,0,,370568635,0
370568677,"NE=3146053,PW=71|5||||","NE=3146053,PW=71|5||||",移动,OptiX OSN 1800 V,NE=3146053,H30477-镇江公安局,1354323,PW_NO_TRAFFIC,通信质量,次要,未确认已清除 告警,2020年12月6日 21时39分40秒 GMT+08:00,,2020年12月6日 21时39分50秒 GMT+08:00,, < 网元 > ,"L2VPN PW:(以太,71)",,,,,13107,,是,正常清除,是,"
告警参数II(16进制) 0x00",2020年12月6日 21时39分30秒 GMT+08:00,988794,0,,,0
370568679,OSS,"OS=1,PROC=3034,NE=3146053,PWE3=2|800|",网管,OSS,OS=1,OSS,1078666343,SERVICE_OUTAGE,业务质量,重要,未确认已清除 告警,2020年12月6日 21时39分32秒 GMT+08:00,,2020年12月6日 21时39分47秒 GMT+08:00,, < 网元 > ,镇江技侦专网,,,,(衍生告警),20,,是,正常清除,,"Name:镇江技侦专网,Source[H30477-镇江公安局],Sink[H12855-南京省技侦],Level:ETH,UID:2016-09-29 04:15:48-70-pwe3",2020年12月6日 21时39分32秒 GMT+08:00,946695,0,,370568677,0
370568685,"NE=3146751,FR=0,S=13,CP=-1,PP=3||205|,CLIENT=1","NE=3146751,FR=0,S=13,CP=-1,PP=3||205|,CLIENT=1",移动,OptiX OSN 8800 T32,NE=3146751,H702-省干南京鼓楼三楼,371752,REM_SF,通信质量,次要,未确认已清除 告警,2020年12月6日 21时40分15秒 GMT+08:00,,2020年12月6日 21时40分20秒 GMT+08:00,, < 网元 > ,0-主子架（河西）-13-52TOM-205(ClientLP5/ClientLP5)-CLIENT:1:1,,,,,63604,,是,正常清除,是,,2020年12月6日 21时39分41秒 GMT+08:00,1069696,0,,,0
370568697,"ONE=4063288,NE=3145852,FR=2,S=13,CP=-1,PP=3||3|,CLIENT=1","ONE=4063288,NE=3145852,FR=2,S=13,CP=-1,PP=3||3|,CLIENT=1",移动,WDM_OTM,ONE=4063288,H4005-无锡市区蠡园局10GW4,472859,INTRA_OTU_PS,通信质量,次要,未确认已清除 告警,2020年12月6日 21时39分33秒 GMT+08:00,,2020年12月6日 21时40分04秒 GMT+08:00,, < 网元 > ,2-subrack-13-12DCP-3(RI21/TO21)-CLIENT:1,,,,,12539,,是,正常清除,,,2020年12月6日 21时39分25秒 GMT+08:00,1070914,370568697,,,0
370568701,"ONE=4063288,NE=3145852,FR=2,S=13,CP=-1,PP=3||3|,CLIENT=1","ONE=4063288,NE=3145852,FR=2,S=13,CP=-1,PP=3||3|,CLIENT=1",移动,WDM_OTM,ONE=4063288,H4005-无锡市区蠡园局10GW4,472861,INTRA_OTU_STA_INDI,通信质量,次要,未确认已清除 告警,2020年12月6日 21时40分04秒 GMT+08:00,,2020年12月6日 21时40分09秒 GMT+08:00,, < 网元 > ,2-subrack-13-12DCP-3(RI21/TO21)-CLIENT:1,,,,,13140,,是,正常清除,,"
倒换请求：SF倒换；
告警参数II(16进制) 0x0c",2020年12月6日 21时39分55秒 GMT+08:00,1070906,370568701,,,0
370568675,"NE=3146246,PW=62|5||||","NE=3146246,PW=62|5||||",移动,OptiX OSN 1800 V,NE=3146246,H12855-南京省技侦,17164001,PW_NO_TRAFFIC,通信质量,次要,未确认已清除 告警,2020年12月6日 21时39分39秒 GMT+08:00,,2020年12月6日 21时40分00秒 GMT+08:00,, < 网元 > ,"L2VPN PW:(以太,62)",,,,,13107,,是,正常清除,是,"
告警参数II(16进制) 0x00",2020年12月6日 21时39分29秒 GMT+08:00,624684,0,,,0
370568682,"NE=3146246,PW=60|5||||","NE=3146246,PW=60|5||||",移动,OptiX OSN 1800 V,NE=3146246,H12855-南京省技侦,17164002,PW_NO_TRAFFIC,通信质量,次要,未确认已清除 告警,2020年12月6日 21时39分50秒 GMT+08:00,,2020年12月6日 21时40分10秒 GMT+08:00,, < 网元 > ,"L2VPN PW:(以太,60)",,,,,13107,,是,正常清除,是,"
告警参数II(16进制) 0x00",2020年12月6日 21时39分39秒 GMT+08:00,935154,0,,,0
