日志流水号,FDNName,对象标识,产品名称,网元类型,网元子设备编号,网元名称,设备告警流水号,告警名称,告警类型,告警级别,告警状态,发生时间,确认时间,清除时间,(反)确认操作员,清除操作员,定位信息,链路标识,链路名称,链路类型,告警标识,告警ID,对象实例类型,自动清除,告警清除类型,影响业务标识,附加信息,到达网管UTC时间,列表流水号,关联日志id,代理ID,根源告警ID,告警是否被隐藏（屏蔽）
370369373,"NE=3146148,PW=70|5||||","NE=3146148,PW=70|5||||",移动,OptiX OSN 1800 V,NE=3146148,H33293-南通公安局,3014830,PW_NO_TRAFFIC,通信质量,次要,未确认已清除 告警,2020年12月5日 01时55分01秒 GMT+08:00,,2020年12月5日 01时55分46秒 GMT+08:00,, < 网元 > ,"L2VPN PW:(以太,70)",,,,,13107,,是,正常清除,是,"
告警参数II(16进制) 0x00",2020年12月5日 01时54分55秒 GMT+08:00,1025752,0,,,0
370369378,OSS,"OS=1,PROC=3034,NE=3146148,PWE3=2|1297|",网管,OSS,OS=1,OSS,1078646691,SERVICE_OUTAGE,业务质量,重要,未确认已清除 告警,2020年12月5日 01时54分59秒 GMT+08:00,,2020年12月5日 01时55分51秒 GMT+08:00,, < 网元 > ,南通技侦专网,,,,(衍生告警),20,,是,正常清除,,"Name:南通技侦专网,Source[H33293-南通公安局],Sink[H12855-南京省技侦],Level:ETH,UID:2016-09-29 04:14:49-69-pwe3",2020年12月5日 01时54分59秒 GMT+08:00,629074,0,,370369373,0
370369414,"NE=3146246,PW=62|5||||","NE=3146246,PW=62|5||||",移动,OptiX OSN 1800 V,NE=3146246,H12855-南京省技侦,17148470,PW_NO_TRAFFIC,通信质量,次要,未确认已清除 告警,2020年12月5日 01时55分35秒 GMT+08:00,,2020年12月5日 01时55分50秒 GMT+08:00,, < 网元 > ,"L2VPN PW:(以太,62)",,,,,13107,,是,正常清除,是,"
告警参数II(16进制) 0x00",2020年12月5日 01时55分30秒 GMT+08:00,624684,0,,,0
370369416,OSS,"OS=1,PROC=3034,NE=3146202,PWE3=2|987|",网管,OSS,OS=1,OSS,1078646696,SERVICE_OUTAGE,业务质量,重要,未确认已清除 告警,2020年12月5日 01时55分32秒 GMT+08:00,,2020年12月5日 01时55分54秒 GMT+08:00,, < 网元 > ,连云港技侦专网,,,,(衍生告警),20,,是,正常清除,,"Name:连云港技侦专网,Source[H48397-连云港公安局],Sink[H12855-南京省技侦],Level:ETH,UID:2016-07-06 09:06:29-61-pwe3",2020年12月5日 01时55分32秒 GMT+08:00,628802,0,,370369414,0
370369412,"NE=3146053,PW=71|5||||","NE=3146053,PW=71|5||||",移动,OptiX OSN 1800 V,NE=3146053,H30477-镇江公安局,1349303,PW_NO_TRAFFIC,通信质量,次要,未确认已清除 告警,2020年12月5日 01时55分35秒 GMT+08:00,,2020年12月5日 01时55分55秒 GMT+08:00,, < 网元 > ,"L2VPN PW:(以太,71)",,,,,13107,,是,正常清除,是,"
告警参数II(16进制) 0x00",2020年12月5日 01时55分30秒 GMT+08:00,988794,0,,,0
370369432,"ONE=4063255,NE=3145767,FR=2,S=11,CP=-1,PP=3||73|,OTU2=1","ONE=4063255,NE=3145767,FR=2,S=11,CP=-1,PP=3||73|,OTU2=1",移动,WDM_OADM,ONE=4063255,H222-盐城滨海分公司,1574417,BEFFEC_EXC,业务质量,次要,未确认已清除 告警,2020年12月5日 01时55分45秒 GMT+08:00,,2020年12月5日 01时55分50秒 GMT+08:00,, < 网元 > ,2-业务子架-11-52NQ2-73(ODU2LP3/ODU2LP3)-OTU2:1,,,,,335,,是,正常清除,是,,2020年12月5日 01时55分49秒 GMT+08:00,1019205,0,,,0
370369417,OSS,"OS=1,PROC=3034,NE=3146053,PWE3=2|800|",网管,OSS,OS=1,OSS,1078646697,SERVICE_OUTAGE,业务质量,重要,未确认已清除 告警,2020年12月5日 01时55分32秒 GMT+08:00,,2020年12月5日 01时56分00秒 GMT+08:00,, < 网元 > ,镇江技侦专网,,,,(衍生告警),20,,是,正常清除,,"Name:镇江技侦专网,Source[H30477-镇江公安局],Sink[H12855-南京省技侦],Level:ETH,UID:2016-09-29 04:15:48-70-pwe3",2020年12月5日 01时55分32秒 GMT+08:00,946695,0,,370369412,0
370369391,"NE=3146246,PW=60|5||||","NE=3146246,PW=60|5||||",移动,OptiX OSN 1800 V,NE=3146246,H12855-南京省技侦,17148468,PW_NO_TRAFFIC,通信质量,次要,未确认已清除 告警,2020年12月5日 01时55分15秒 GMT+08:00,,2020年12月5日 01时56分00秒 GMT+08:00,, < 网元 > ,"L2VPN PW:(以太,60)",,,,,13107,,是,正常清除,是,"
告警参数II(16进制) 0x00",2020年12月5日 01时55分10秒 GMT+08:00,935154,0,,,0
370369456,"NE=3146747,FR=5,S=34,CP=-1,PP=3||4|,PATH=OCh:1-OTU2:1","NE=3146747,FR=5,S=34,CP=-1,PP=3||4|,PATH=OCh:1-OTU2:1",移动,OptiX OSN 8800 T32,NE=3146747,H710-省干南京河西7楼,741908,BEFFEC_EXC,业务质量,提示,未确认已清除 告警,2020年12月5日 01时56分17秒 GMT+08:00,,2020年12月5日 01时56分20秒 GMT+08:00,, < 网元 > ,5-subrack-34-53NQ2-4(IN4/OUT4)-OCh:1-OTU2:1,,,,,335,,是,正常清除,是,,2020年12月5日 01时56分01秒 GMT+08:00,1059922,0,,,0
370369464,"ONE=4063255,NE=3145767,FR=2,S=11,CP=-1,PP=3||73|,OTU2=1","ONE=4063255,NE=3145767,FR=2,S=11,CP=-1,PP=3||73|,OTU2=1",移动,WDM_OADM,ONE=4063255,H222-盐城滨海分公司,1574418,BEFFEC_EXC,业务质量,次要,未确认已清除 告警,2020年12月5日 01时56分03秒 GMT+08:00,,2020年12月5日 01时56分06秒 GMT+08:00,, < 网元 > ,2-业务子架-11-52NQ2-73(ODU2LP3/ODU2LP3)-OTU2:1,,,,,335,,是,正常清除,是,,2020年12月5日 01时56分06秒 GMT+08:00,1019205,0,,,0
370369469,"ONE=4063288,NE=3145852,FR=2,S=13,CP=-1,PP=3||3|,CLIENT=1","ONE=4063288,NE=3145852,FR=2,S=13,CP=-1,PP=3||3|,CLIENT=1",移动,WDM_OTM,ONE=4063288,H4005-无锡市区蠡园局10GW4,467300,INTRA_OTU_PS,通信质量,次要,未确认已清除 告警,2020年12月5日 01时55分49秒 GMT+08:00,,2020年12月5日 01时56分19秒 GMT+08:00,, < 网元 > ,2-subrack-13-12DCP-3(RI21/TO21)-CLIENT:1,,,,,12539,,是,正常清除,,,2020年12月5日 01时55分47秒 GMT+08:00,1070914,370369469,,,0
370369441,"NE=3146205,PW=61|5||||","NE=3146205,PW=61|5||||",移动,OptiX OSN 1800 V,NE=3146205,H43277-徐州公安局,1522647,PW_NO_TRAFFIC,通信质量,次要,未确认已清除 告警,2020年12月5日 01时56分01秒 GMT+08:00,,2020年12月5日 01时56分11秒 GMT+08:00,, < 网元 > ,"L2VPN PW:(以太,61)",,,,,13107,,是,正常清除,是,"
告警参数II(16进制) 0x00",2020年12月5日 01时55分55秒 GMT+08:00,1074883,0,,,0
370369443,"NE=3146246,PW=61|5||||","NE=3146246,PW=61|5||||",移动,OptiX OSN 1800 V,NE=3146246,H12855-南京省技侦,17148471,PW_NO_TRAFFIC,通信质量,次要,未确认已清除 告警,2020年12月5日 01时56分00秒 GMT+08:00,,2020年12月5日 01时56分10秒 GMT+08:00,, < 网元 > ,"L2VPN PW:(以太,61)",,,,,13107,,是,正常清除,是,"
告警参数II(16进制) 0x01",2020年12月5日 01时55分55秒 GMT+08:00,926489,0,,,0
370369447,OSS,"OS=1,PROC=3034,NE=3146205,PWE3=2|564|",网管,OSS,OS=1,OSS,1078646699,SERVICE_OUTAGE,业务质量,重要,未确认已清除 告警,2020年12月5日 01时55分57秒 GMT+08:00,,2020年12月5日 01时56分15秒 GMT+08:00,, < 网元 > ,徐州技侦专网,,,,(衍生告警),20,,是,正常清除,,"Name:徐州技侦专网,Source[H43277-徐州公安局],Sink[H12855-南京省技侦],Level:ETH,UID:2016-07-06 09:05:11-60-pwe3",2020年12月5日 01时55分57秒 GMT+08:00,948130,0,,370369443,0
370369475,"ONE=4063288,NE=3145852,FR=2,S=13,CP=-1,PP=3||3|,CLIENT=1","ONE=4063288,NE=3145852,FR=2,S=13,CP=-1,PP=3||3|,CLIENT=1",移动,WDM_OTM,ONE=4063288,H4005-无锡市区蠡园局10GW4,467302,INTRA_OTU_STA_INDI,通信质量,次要,未确认已清除 告警,2020年12月5日 01时56分19秒 GMT+08:00,,2020年12月5日 01时56分24秒 GMT+08:00,, < 网元 > ,2-subrack-13-12DCP-3(RI21/TO21)-CLIENT:1,,,,,13140,,是,正常清除,,"
倒换请求：SF倒换；
告警参数II(16进制) 0x0c",2020年12月5日 01时56分18秒 GMT+08:00,1070906,370369475,,,0
370369403,"NE=3146825,FR=0,S=24,CP=-1,PP=3||1|,OCH=1","NE=3146825,FR=0,S=24,CP=-1,PP=3||1|,OCH=1",移动,OptiX OSN 8800 T32,NE=3146825,H701-省干南京丹凤街四楼,387597,IN_PWR_HIGH,设备故障,重要,未确认已清除 告警,2020年12月5日 01时55分38秒 GMT+08:00,,2020年12月5日 01时56分33秒 GMT+08:00,, < 网元 > ,0-鼓楼方向-24-52NQ2-1(IN1/OUT1)-OCH:1,,,,,31,,是,正常清除,是,,2020年12月5日 01时55分21秒 GMT+08:00,1080747,0,,,0
370369436,"NE=3146148,PW=70|5||||","NE=3146148,PW=70|5||||",移动,OptiX OSN 1800 V,NE=3146148,H33293-南通公安局,3014831,PW_NO_TRAFFIC,通信质量,次要,未确认已清除 告警,2020年12月5日 01时55分56秒 GMT+08:00,,2020年12月5日 01时56分17秒 GMT+08:00,, < 网元 > ,"L2VPN PW:(以太,70)",,,,,13107,,是,正常清除,是,"
告警参数II(16进制) 0x00",2020年12月5日 01时55分52秒 GMT+08:00,1025752,0,,,0
370369439,OSS,"OS=1,PROC=3034,NE=3146148,PWE3=2|1297|",网管,OSS,OS=1,OSS,1078646698,SERVICE_OUTAGE,业务质量,重要,未确认已清除 告警,2020年12月5日 01时55分54秒 GMT+08:00,,2020年12月5日 01时56分18秒 GMT+08:00,, < 网元 > ,南通技侦专网,,,,(衍生告警),20,,是,正常清除,,"Name:南通技侦专网,Source[H33293-南通公安局],Sink[H12855-南京省技侦],Level:ETH,UID:2016-09-29 04:14:49-69-pwe3",2020年12月5日 01时55分54秒 GMT+08:00,629074,0,,370369436,0
370369471,"NE=3146747,FR=5,S=34,CP=-1,PP=3||4|,PATH=OCh:1-OTU2:1","NE=3146747,FR=5,S=34,CP=-1,PP=3||4|,PATH=OCh:1-OTU2:1",移动,OptiX OSN 8800 T32,NE=3146747,H710-省干南京河西7楼,741909,BEFFEC_EXC,业务质量,提示,未确认已清除 告警,2020年12月5日 01时56分30秒 GMT+08:00,,2020年12月5日 01时56分34秒 GMT+08:00,, < 网元 > ,5-subrack-34-53NQ2-4(IN4/OUT4)-OCh:1-OTU2:1,,,,,335,,是,正常清除,是,,2020年12月5日 01时56分14秒 GMT+08:00,1059922,0,,,0
370369444,"NE=3146246,PW=62|5||||","NE=3146246,PW=62|5||||",移动,OptiX OSN 1800 V,NE=3146246,H12855-南京省技侦,17148472,PW_NO_TRAFFIC,通信质量,次要,未确认已清除 告警,2020年12月5日 01时56分00秒 GMT+08:00,,2020年12月5日 01时56分20秒 GMT+08:00,, < 网元 > ,"L2VPN PW:(以太,62)",,,,,13107,,是,正常清除,是,"
告警参数II(16进制) 0x00",2020年12月5日 01时55分55秒 GMT+08:00,624684,0,,,0
370369448,OSS,"OS=1,PROC=3034,NE=3146202,PWE3=2|987|",网管,OSS,OS=1,OSS,1078646700,SERVICE_OUTAGE,业务质量,重要,未确认已清除 告警,2020年12月5日 01时55分57秒 GMT+08:00,,2020年12月5日 01时56分24秒 GMT+08:00,, < 网元 > ,连云港技侦专网,,,,(衍生告警),20,,是,正常清除,,"Name:连云港技侦专网,Source[H48397-连云港公安局],Sink[H12855-南京省技侦],Level:ETH,UID:2016-07-06 09:06:29-61-pwe3",2020年12月5日 01时55分57秒 GMT+08:00,628802,0,,370369444,0
370369454,"NE=3146053,PW=71|5||||","NE=3146053,PW=71|5||||",移动,OptiX OSN 1800 V,NE=3146053,H30477-镇江公安局,1349304,PW_NO_TRAFFIC,通信质量,次要,未确认已清除 告警,2020年12月5日 01时56分05秒 GMT+08:00,,2020年12月5日 01时56分25秒 GMT+08:00,, < 网元 > ,"L2VPN PW:(以太,71)",,,,,13107,,是,正常清除,是,"
告警参数II(16进制) 0x00",2020年12月5日 01时56分00秒 GMT+08:00,988794,0,,,0
370369053,"ONE=4063349,NE=3145996,FR=2,S=1,CP=-1,PP=3||4|,CLIENT=1","ONE=4063349,NE=3145996,FR=2,S=1,CP=-1,PP=3||4|,CLIENT=1",移动,WDM_OADM,ONE=4063349,H10030-苏州跨塘汇聚层,2215837,IN_PWR_LOW,设备故障,重要,未确认已清除 告警,2020年12月5日 01时51分11秒 GMT+08:00,,2020年12月5日 01时56分27秒 GMT+08:00,, < 网元 > ,2-4C-业务子架-1-TOM-4(RX2/TX2)-CLIENT:1,,,,,32,,是,正常清除,是,,2020年12月5日 01时51分11秒 GMT+08:00,1020460,0,,,0
370369458,OSS,"OS=1,PROC=3034,NE=3146053,PWE3=2|800|",网管,OSS,OS=1,OSS,1078646701,SERVICE_OUTAGE,业务质量,重要,未确认已清除 告警,2020年12月5日 01时56分03秒 GMT+08:00,,2020年12月5日 01时56分30秒 GMT+08:00,, < 网元 > ,镇江技侦专网,,,,(衍生告警),20,,是,正常清除,,"Name:镇江技侦专网,Source[H30477-镇江公安局],Sink[H12855-南京省技侦],Level:ETH,UID:2016-09-29 04:15:48-70-pwe3",2020年12月5日 01时56分03秒 GMT+08:00,946695,0,,370369454,0
370369476,"ONE=4063255,NE=3145767,FR=2,S=11,CP=-1,PP=3||73|,OTU2=1","ONE=4063255,NE=3145767,FR=2,S=11,CP=-1,PP=3||73|,OTU2=1",移动,WDM_OADM,ONE=4063255,H222-盐城滨海分公司,1574419,BEFFEC_EXC,业务质量,次要,未确认已清除 告警,2020年12月5日 01时56分15秒 GMT+08:00,,2020年12月5日 01时56分23秒 GMT+08:00,, < 网元 > ,2-业务子架-11-52NQ2-73(ODU2LP3/ODU2LP3)-OTU2:1,,,,,335,,是,正常清除,是,,2020年12月5日 01时56分20秒 GMT+08:00,1019205,0,,,0
