日志流水号,FDNName,对象标识,产品名称,网元类型,网元子设备编号,网元名称,设备告警流水号,告警名称,告警类型,告警级别,告警状态,发生时间,确认时间,清除时间,(反)确认操作员,清除操作员,定位信息,链路标识,链路名称,链路类型,告警标识,告警ID,对象实例类型,自动清除,告警清除类型,影响业务标识,附加信息,到达网管UTC时间,列表流水号,关联日志id,代理ID,根源告警ID,告警是否被隐藏（屏蔽）
368427281,"NE=3146078,FR=0,S=31,CP=-1,PP=3||4|,CLIENT=1","NE=3146078,FR=0,S=31,CP=-1,PP=3||4|,CLIENT=1",移动,OptiX OSN 9600 U32,NE=3146078,H12803-南京河西2-电子架,1915,ALS_ACTIVE,业务质量,次要,未确认未清除 告警,2020年11月20日 16时04分59秒 GMT+08:00,,,,,0-河西联通-31-Y2C210-4(RX4/TX4)-CLIENT:1,,,,,13412,,是,,,"槽位=31,子槽=255,端口=4,分组=1
",2020年11月20日 16时04分43秒 GMT+08:00,1074009,0,,,0
368427282,"NE=3146078,FR=0,S=31,CP=-1,PP=3||5|,CLIENT=1","NE=3146078,FR=0,S=31,CP=-1,PP=3||5|,CLIENT=1",移动,OptiX OSN 9600 U32,NE=3146078,H12803-南京河西2-电子架,1916,ALS_ACTIVE,业务质量,次要,未确认未清除 告警,2020年11月20日 16时04分59秒 GMT+08:00,,,,,0-河西联通-31-Y2C210-5(RX5/TX5)-CLIENT:1,,,,,13412,,是,,,"槽位=31,子槽=255,端口=5,分组=1
",2020年11月20日 16时04分43秒 GMT+08:00,1074010,0,,,0
368427283,"NE=3146078,FR=0,S=31,CP=-1,PP=3||6|,CLIENT=1","NE=3146078,FR=0,S=31,CP=-1,PP=3||6|,CLIENT=1",移动,OptiX OSN 9600 U32,NE=3146078,H12803-南京河西2-电子架,1917,ALS_ACTIVE,业务质量,次要,未确认未清除 告警,2020年11月20日 16时04分59秒 GMT+08:00,,,,,0-河西联通-31-Y2C210-6(RX6/TX6)-CLIENT:1,,,,,13412,,是,,,"槽位=31,子槽=255,端口=6,分组=1
",2020年11月20日 16时04分43秒 GMT+08:00,1074011,0,,,0
368427284,"NE=3146078,FR=0,S=31,CP=-1,PP=3||7|,CLIENT=1","NE=3146078,FR=0,S=31,CP=-1,PP=3||7|,CLIENT=1",移动,OptiX OSN 9600 U32,NE=3146078,H12803-南京河西2-电子架,1918,ALS_ACTIVE,业务质量,次要,未确认未清除 告警,2020年11月20日 16时04分59秒 GMT+08:00,,,,,0-河西联通-31-Y2C210-7(RX7/TX7)-CLIENT:1,,,,,13412,,是,,,"槽位=31,子槽=255,端口=7,分组=1
",2020年11月20日 16时04分43秒 GMT+08:00,1074012,0,,,0
368427285,"NE=3146078,FR=0,S=31,CP=-1,PP=3||8|,CLIENT=1","NE=3146078,FR=0,S=31,CP=-1,PP=3||8|,CLIENT=1",移动,OptiX OSN 9600 U32,NE=3146078,H12803-南京河西2-电子架,1919,ALS_ACTIVE,业务质量,次要,未确认未清除 告警,2020年11月20日 16时04分59秒 GMT+08:00,,,,,0-河西联通-31-Y2C210-8(RX8/TX8)-CLIENT:1,,,,,13412,,是,,,"槽位=31,子槽=255,端口=8,分组=1
",2020年11月20日 16时04分43秒 GMT+08:00,1074013,0,,,0
368427286,"NE=3146078,FR=0,S=31,CP=-1,PP=3||9|,CLIENT=1","NE=3146078,FR=0,S=31,CP=-1,PP=3||9|,CLIENT=1",移动,OptiX OSN 9600 U32,NE=3146078,H12803-南京河西2-电子架,1920,ALS_ACTIVE,业务质量,次要,未确认未清除 告警,2020年11月20日 16时04分59秒 GMT+08:00,,,,,0-河西联通-31-Y2C210-9(RX9/TX9)-CLIENT:1,,,,,13412,,是,,,"槽位=31,子槽=255,端口=9,分组=1
",2020年11月20日 16时04分43秒 GMT+08:00,1074014,0,,,0
368427287,"NE=3146078,FR=0,S=31,CP=-1,PP=3||10|,CLIENT=1","NE=3146078,FR=0,S=31,CP=-1,PP=3||10|,CLIENT=1",移动,OptiX OSN 9600 U32,NE=3146078,H12803-南京河西2-电子架,1921,ALS_ACTIVE,业务质量,次要,未确认未清除 告警,2020年11月20日 16时04分59秒 GMT+08:00,,,,,0-河西联通-31-Y2C210-10(RX10/TX10)-CLIENT:1,,,,,13412,,是,,,"槽位=31,子槽=255,端口=10,分组=1
",2020年11月20日 16时04分43秒 GMT+08:00,1074015,0,,,0
368427261,"NE=3146751,FR=0,S=13,CP=-1,PP=3||205|,CLIENT=1","NE=3146751,FR=0,S=13,CP=-1,PP=3||205|,CLIENT=1",移动,OptiX OSN 8800 T32,NE=3146751,H702-省干南京鼓楼三楼,350337,REM_SF,通信质量,次要,未确认已清除 告警,2020年11月20日 16时07分21秒 GMT+08:00,,2020年11月20日 16时07分26秒 GMT+08:00,, < 网元 > ,0-主子架（河西）-13-52TOM-205(ClientLP5/ClientLP5)-CLIENT:1:1,,,,,63604,,是,正常清除,是,,2020年11月20日 16时04分38秒 GMT+08:00,1069696,0,,,0
368427292,"ONE=4063750,NE=3147404","ONE=4063750,NE=3147404",移动,WDM_OADM,ONE=4063750,H20027-苏州昆山农商行前进路B,160501,DCNSIZE_OVER,设备故障,次要,未确认未清除 告警,2020年11月20日 16时16分21秒 GMT+08:00,,,,,-,,,,,13110,,是,,,"
告警参数II(16进制) 0x00 0xcd",2020年11月20日 16时04分46秒 GMT+08:00,1056789,0,,,0
368427233,"NE=3146246,PW=62|5||||","NE=3146246,PW=62|5||||",移动,OptiX OSN 1800 V,NE=3146246,H12855-南京省技侦,17007927,PW_NO_TRAFFIC,通信质量,次要,未确认已清除 告警,2020年11月20日 16时05分18秒 GMT+08:00,,2020年11月20日 16时05分38秒 GMT+08:00,, < 网元 > ,"L2VPN PW:(以太,62)",,,,,13107,,是,正常清除,是,"
告警参数II(16进制) 0x00",2020年11月20日 16时04分19秒 GMT+08:00,624684,0,,,0
368427234,OSS,"OS=1,PROC=3034,NE=3146202,PWE3=2|987|",网管,OSS,OS=1,OSS,1078480324,SERVICE_OUTAGE,业务质量,重要,未确认已清除 告警,2020年11月20日 16时04分20秒 GMT+08:00,,2020年11月20日 16时04分51秒 GMT+08:00,, < 网元 > ,连云港技侦专网,,,,(衍生告警),20,,是,正常清除,,"Name:连云港技侦专网,Source[H48397-连云港公安局],Sink[H12855-南京省技侦],Level:ETH,UID:2016-07-06 09:06:29-61-pwe3",2020年11月20日 16时04分20秒 GMT+08:00,628802,0,,368427233,0
