日志流水号,FDNName,对象标识,产品名称,网元类型,网元子设备编号,网元名称,设备告警流水号,告警名称,告警类型,告警级别,告警状态,发生时间,确认时间,清除时间,(反)确认操作员,清除操作员,定位信息,链路标识,链路名称,链路类型,告警标识,告警ID,对象实例类型,自动清除,告警清除类型,影响业务标识,附加信息,到达网管UTC时间,列表流水号,关联日志id,代理ID,根源告警ID,告警是否被隐藏（屏蔽）
369985106,"ONE=4063270,NE=3146075,FR=0,S=2,CP=-1,PP=3||2|,PATH=OCh:1-OTU2:1","ONE=4063270,NE=3146075,FR=0,S=2,CP=-1,PP=3||2|,PATH=OCh:1-OTU2:1",移动,WDM_OADM,ONE=4063270,H304-盐城解放南路（市到县）,781201,BEFFEC_EXC,业务质量,次要,未确认已清除 告警,2020年12月1日 20时11分16秒 GMT+08:00,,2020年12月1日 20时11分18秒 GMT+08:00,, < 网元 > ,0-主子架-2-53NQ2-2(IN2/OUT2)-OCh:1-OTU2:1,,,,,335,,是,正常清除,是,,2020年12月1日 20时10分00秒 GMT+08:00,1019289,0,,,0
369985108,"NE=3146751,FR=0,S=13,CP=-1,PP=3||205|,CLIENT=1","NE=3146751,FR=0,S=13,CP=-1,PP=3||205|,CLIENT=1",移动,OptiX OSN 8800 T32,NE=3146751,H702-省干南京鼓楼三楼,365124,REM_SF,通信质量,次要,未确认已清除 告警,2020年12月1日 20时14分31秒 GMT+08:00,,2020年12月1日 20时14分36秒 GMT+08:00,, < 网元 > ,0-主子架（河西）-13-52TOM-205(ClientLP5/ClientLP5)-CLIENT:1:1,,,,,63604,,是,正常清除,是,,2020年12月1日 20时10分01秒 GMT+08:00,1069696,0,,,0
369985086,"NE=3146246,PW=62|5||||","NE=3146246,PW=62|5||||",移动,OptiX OSN 1800 V,NE=3146246,H12855-南京省技侦,17120937,PW_NO_TRAFFIC,通信质量,次要,未确认已清除 告警,2020年12月1日 20时11分23秒 GMT+08:00,,2020年12月1日 20时11分43秒 GMT+08:00,, < 网元 > ,"L2VPN PW:(以太,62)",,,,,13107,,是,正常清除,是,"
告警参数II(16进制) 0x00",2020年12月1日 20时09分45秒 GMT+08:00,624684,0,,,0
369985089,OSS,"OS=1,PROC=3034,NE=3146202,PWE3=2|987|",网管,OSS,OS=1,OSS,1078610591,SERVICE_OUTAGE,业务质量,重要,未确认已清除 告警,2020年12月1日 20时09分47秒 GMT+08:00,,2020年12月1日 20时10分15秒 GMT+08:00,, < 网元 > ,连云港技侦专网,,,,(衍生告警),20,,是,正常清除,,"Name:连云港技侦专网,Source[H48397-连云港公安局],Sink[H12855-南京省技侦],Level:ETH,UID:2016-07-06 09:06:29-61-pwe3",2020年12月1日 20时09分47秒 GMT+08:00,628802,0,,369985086,0
369984967,"ONE=4063238,NE=3145737,FR=5,S=3,CP=-1,PP=3||73|,OTU2=1","ONE=4063238,NE=3145737,FR=5,S=3,CP=-1,PP=3||73|,OTU2=1",移动,WDM_OADM,ONE=4063238,H229-盐城开发区（市到县）,4327562,BEFFEC_EXC,业务质量,次要,未确认已清除 告警,2020年12月1日 20时09分46秒 GMT+08:00,,2020年12月1日 20时11分33秒 GMT+08:00,, < 网元 > ,5-开发区（市到县扩）-3-54NQ2-73(ODU2LP3/ODU2LP3)-OTU2:1,,,,,335,,是,正常清除,是,,2020年12月1日 20时08分28秒 GMT+08:00,1024906,0,,,0
369984415,"ONE=4063349,NE=3145996,FR=2,S=1,CP=-1,PP=3||4|,CLIENT=1","ONE=4063349,NE=3145996,FR=2,S=1,CP=-1,PP=3||4|,CLIENT=1",移动,WDM_OADM,ONE=4063349,H10030-苏州跨塘汇聚层,2214542,IN_PWR_LOW,设备故障,重要,未确认已清除 告警,2020年12月1日 20时04分05秒 GMT+08:00,,2020年12月1日 20时11分51秒 GMT+08:00,, < 网元 > ,2-4C-业务子架-1-TOM-4(RX2/TX2)-CLIENT:1,,,,,32,,是,正常清除,是,,2020年12月1日 20时02分32秒 GMT+08:00,1020460,0,,,0
369985115,"NE=3146205,PW=61|5||||","NE=3146205,PW=61|5||||",移动,OptiX OSN 1800 V,NE=3146205,H43277-徐州公安局,1512985,PW_NO_TRAFFIC,通信质量,次要,未确认已清除 告警,2020年12月1日 20时11分40秒 GMT+08:00,,2020年12月1日 20时11分50秒 GMT+08:00,, < 网元 > ,"L2VPN PW:(以太,61)",,,,,13107,,是,正常清除,是,"
告警参数II(16进制) 0x00",2020年12月1日 20时10分04秒 GMT+08:00,1074883,0,,,0
369985117,"NE=3146246,PW=61|5||||","NE=3146246,PW=61|5||||",移动,OptiX OSN 1800 V,NE=3146246,H12855-南京省技侦,17120939,PW_NO_TRAFFIC,通信质量,次要,未确认已清除 告警,2020年12月1日 20时11分43秒 GMT+08:00,,2020年12月1日 20时11分53秒 GMT+08:00,, < 网元 > ,"L2VPN PW:(以太,61)",,,,,13107,,是,正常清除,是,"
告警参数II(16进制) 0x01",2020年12月1日 20时10分05秒 GMT+08:00,926489,0,,,0
369985118,OSS,"OS=1,PROC=3034,NE=3146205,PWE3=2|564|",网管,OSS,OS=1,OSS,1078610592,SERVICE_OUTAGE,业务质量,重要,未确认已清除 告警,2020年12月1日 20时10分06秒 GMT+08:00,,2020年12月1日 20时10分24秒 GMT+08:00,, < 网元 > ,徐州技侦专网,,,,(衍生告警),20,,是,正常清除,,"Name:徐州技侦专网,Source[H43277-徐州公安局],Sink[H12855-南京省技侦],Level:ETH,UID:2016-07-06 09:05:11-60-pwe3",2020年12月1日 20时10分06秒 GMT+08:00,948130,0,,369985117,0
369985124,"NE=3146148,PW=70|5||||","NE=3146148,PW=70|5||||",移动,OptiX OSN 1800 V,NE=3146148,H33293-南通公安局,3005719,PW_NO_TRAFFIC,通信质量,次要,未确认已清除 告警,2020年12月1日 20时11分46秒 GMT+08:00,,2020年12月1日 20时11分56秒 GMT+08:00,, < 网元 > ,"L2VPN PW:(以太,70)",,,,,13107,,是,正常清除,是,"
告警参数II(16进制) 0x00",2020年12月1日 20时10分07秒 GMT+08:00,1025752,0,,,0
